datetime,San Diego_broken clouds,San Diego_drizzle,San Diego_few clouds,San Diego_fog,San Diego_haze,San Diego_heavy intensity rain,San Diego_light intensity drizzle,San Diego_light intensity shower rain,San Diego_light rain,San Diego_mist,San Diego_moderate rain,San Diego_overcast clouds,San Diego_proximity thunderstorm,San Diego_scattered clouds,San Diego_shower rain,San Diego_sky is clear,San Diego_smoke,San Diego_squalls,San Diego_thunderstorm,San Diego_thunderstorm with light rain,San Diego_thunderstorm with rain,San Diego_very heavy rain,San Diego_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106509212494442,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.26720330448303015,0.0,0.18370599926939077,0.2101987821572763,0.0
2012-10-02,0.0,0.0,0.1934112244562055,0.0,0.021347863734476932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010281898938862262,0.0,0.09589592283898983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057826475450509,0.06950311288802086,0.19557236972152828,0.19853580667181162,0.009669153205053809
2012-10-03,0.0,0.0,0.1436147953676207,0.0,0.0,0.0,0.0,0.0,0.0,0.03236986410399075,0.0,0.0,0.0,0.0,0.0,0.13694782034003147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815878136345073,0.10364932791710064,0.20745779710327084,0.18502059568800563,0.009351985845472649
2012-10-04,0.01365493617103492,0.0,0.1161864759868745,0.06503335041212936,0.02428093239709993,0.0,0.0,0.0,0.0,0.051381793933070775,0.0,0.0,0.0,0.031288310937351856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22675016027485284,0.08561021316052268,0.19017310018543265,0.18707424818903443,0.008566478352596045
2012-10-05,0.08335893168955767,0.0,0.0,0.02109829103164315,0.0,0.0,0.0,0.0,0.0,0.11705008365716017,0.0,0.0,0.0,0.05400472708032977,0.0,0.011344835955877602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588841557385493,0.12808747550002694,0.16830873585031872,0.19586544068933912,0.014993062971891909
2012-10-06,0.13292798472912246,0.0,0.046259647723341506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0482422823145541,0.0,0.045884927995971214,0.0,0.013546037886740435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19748673474070974,0.14299754935657205,0.16214461920725584,0.19572286194929836,0.014787354096434252
2012-10-07,0.12786219796806522,0.0,0.0,0.0,0.02517687445481691,0.0,0.0,0.0,0.0,0.08623730816381557,0.0,0.0,0.0,0.05680919687280062,0.0,0.010939347173809637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22040101133659232,0.09649355587659598,0.16947266406725045,0.1970030992519741,0.00960474483427915
2012-10-08,0.07184299750505231,0.0,0.036397878157266694,0.0,0.02483271071192894,0.0,0.0,0.0,0.0,0.03889961889024016,0.0,0.05013493768237439,0.0,0.07398072028692232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21273771969100552,0.12077203407873545,0.1728803903257828,0.18556733326961647,0.01195365940107493
2012-10-09,0.05391033712784255,0.0,0.03252453192970012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930647744833367,0.0,0.08259551922598489,0.0,0.036637940883504395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201163941594894,0.12135012506701272,0.17257980255798436,0.19111619158222162,0.015056835547518603
2012-10-10,0.08091837327950165,0.0,0.07771638526970988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058288884201595476,0.0,0.07420763316517538,0.0,0.011478741003167875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917294987165448,0.12033472216377296,0.17070086119742908,0.19653927044065786,0.018085630562445037
2012-10-11,0.04075638267094428,0.0,0.013813057939123014,0.0,0.0,0.0,0.0,0.0,0.025127961373443097,0.0,0.0,0.028961014948812636,0.0,0.047243700102915905,0.0,0.13672653938969906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18306071794844195,0.15473441112320205,0.1648206788275297,0.18098857282004924,0.023766962855839072
2012-10-12,0.08418163563321375,0.0,0.027529929560035592,0.0,0.0,0.0,0.0,0.0,0.07010428321291935,0.0,0.0,0.0,0.0,0.1085215729117296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18984593033114597,0.16226196615704874,0.14880301173682153,0.18412500901733686,0.02462666143974858
2012-10-13,0.05935432672924614,0.0,0.024441929507653743,0.0,0.0,0.0,0.0,0.0,0.09132316742766487,0.02730029082592994,0.012596185777510741,0.0,0.0,0.07346523719177082,0.0,0.012605203580006788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969924970518758,0.12326346404409776,0.15434578986557032,0.20090653012422066,0.023405377874452443
2012-10-14,0.014507394855571351,0.0,0.18618587795341157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238237045233432,0.0,0.021399780662490375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19265419733952904,0.1286501948677769,0.15028715209211738,0.21254015327926756,0.02139287849750149
2012-10-15,0.0,0.0,0.04941997813621016,0.0,0.05410309560253699,0.0,0.0,0.0,0.0,0.014034789222393812,0.0,0.0,0.0,0.06312215175482495,0.0,0.11955195934734335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19135614135363108,0.14015790395146074,0.17056547537028985,0.19991561877866773,0.014075876488153833
