datetime,Beersheba_broken clouds,Beersheba_few clouds,Beersheba_heavy intensity rain,Beersheba_light rain,Beersheba_moderate rain,Beersheba_overcast clouds,Beersheba_scattered clouds,Beersheba_sky is clear,Beersheba_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.23892374919040424,0.0,0.05472919585592236,0.08333333333333333,0.16793668093343128,0.13820298535607098,0.2587773679628034,0.06091136632202945,0.053822932102399544
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.20926619541570304,0.0,0.10224632884822228,0.0,0.22299521928800745,0.13811034458088342,0.2195429241092313,0.06050206589751814,0.0473369218604344
2012-10-03,0.0,0.013048017507402934,0.0,0.0,0.0,0.0,0.0,0.31336557089887074,0.0,0.2405544065979298,0.1184892762523541,0.22320875480842126,0.06659442961566413,0.024739544319357112
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3228480540384752,0.0,0.2095472985708584,0.16328593353368623,0.21319126846922645,0.0671555475065119,0.023971897881241794
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.027687593971615715,0.0,0.29515438363909835,0.0,0.2045857697528838,0.16792279073656555,0.20973418898293736,0.06166842699570215,0.0332468459211971
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293962747692382,0.0,0.20418802000831437,0.14376676747253858,0.21845884333684554,0.06282934216049192,0.041360752252571346
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296124269816542,0.0,0.20361431726914744,0.1610674654638375,0.2118240442573911,0.06384242772084182,0.030039318307127943
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329770373076281,0.0,0.1859720771276789,0.1821950451298675,0.19721711991194937,0.054086337590949586,0.047552382931926464
2012-10-09,0.0,0.014062304136511675,0.0,0.0,0.0,0.0,0.0,0.31747039528390436,0.0,0.20427335737316277,0.14217798780079288,0.21036779235227177,0.06400345368658826,0.04764470936676831
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186368763306069,0.0,0.18553233887566978,0.18608587360816342,0.203477622649618,0.05653499846504901,0.049732290070892866
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34034078449980787,0.0,0.16225995477527874,0.1927039302944464,0.2235918499231956,0.04303645018220258,0.038067030325068744
2012-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288766256987639,0.0,0.17426464257643537,0.14725896788652024,0.22179665374393098,0.058144624128364346,0.0696584859659851
2012-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32068759672117114,0.0,0.19206393781534178,0.1800846104092784,0.21362459436806192,0.05902849132299271,0.03451076936315402
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3340688656269509,0.0,0.2104146594309094,0.14505716048694764,0.215945897881051,0.06641752198550842,0.02809589458863257
2012-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32583509853717263,0.0,0.21702924661156595,0.150908235038176,0.20537957255338715,0.06470138769407695,0.04518934484110324
2012-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32438409061404966,0.0,0.20214758952223624,0.16085618531033744,0.21602075123880005,0.06605025328473142,0.0305411300298451
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.02464578311263586,0.0,0.298215378621083,0.0,0.21415842237760865,0.17477129932301674,0.21358136697439878,0.06676333281973235,0.02571095196965864
2012-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32470604587052343,0.0,0.20963554345852878,0.1563277171767575,0.2219055205451345,0.06386417850607586,0.02356099444297989
2012-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3264994580547301,0.0,0.20662480573306474,0.1745255023372608,0.21236565619116723,0.06019173386007715,0.02840221072924437
2012-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311545621792289,0.0,0.22374103725500397,0.14445828320038442,0.21396706869614693,0.059350668556649,0.02732838011258676
2012-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3096636695277139,0.0,0.2409873597488081,0.17114067225803972,0.18648121497928447,0.052892723575732735,0.03883435991042109
2012-10-22,0.0,0.0,0.0,0.0,0.0,0.05522282405891885,0.0,0.2706986510468347,0.0,0.21316233642322283,0.15771447145751524,0.2045749109996531,0.05776329062911104,0.04086351538474421
2012-10-23,0.0,0.0,0.0,0.0,0.0,0.013636896103145384,0.0,0.3231665132341757,0.0,0.21241018371720247,0.13812376961124803,0.21493033880528697,0.06247745158508474,0.03525484694385662
2012-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31100344595312196,0.0,0.19615791678747607,0.19448726875924485,0.19654883710525292,0.060458365440567714,0.04134416595433643
2012-10-25,0.0,0.0,0.0,0.0,0.0,0.013753453991640583,0.0,0.334496211947863,0.0,0.1802948834738902,0.15020586154602522,0.20822329852648216,0.06242527912180438,0.05060101139229439
2012-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34472187669860976,0.0,0.18849295128342813,0.16678296438880366,0.20557565545251846,0.05840428426798713,0.03602226790865281
2012-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32961162044049924,0.0,0.19085455177410393,0.1813187929491621,0.19715451604393144,0.0603171503404299,0.040743368451873395
2012-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32219412139778436,0.0,0.19856447821721893,0.17573680753923301,0.191072924467071,0.06371152902766102,0.048720139351031706
