datetime,San Antonio_broken clouds,San Antonio_drizzle,San Antonio_dust,San Antonio_few clouds,San Antonio_fog,San Antonio_freezing rain,San Antonio_haze,San Antonio_heavy intensity drizzle,San Antonio_heavy intensity rain,San Antonio_heavy snow,San Antonio_light intensity drizzle,San Antonio_light rain,San Antonio_light snow,San Antonio_mist,San Antonio_moderate rain,San Antonio_overcast clouds,San Antonio_proximity thunderstorm,San Antonio_proximity thunderstorm with drizzle,San Antonio_proximity thunderstorm with rain,San Antonio_scattered clouds,San Antonio_sky is clear,San Antonio_smoke,San Antonio_squalls,San Antonio_thunderstorm,San Antonio_thunderstorm with heavy rain,San Antonio_thunderstorm with light drizzle,San Antonio_thunderstorm with light rain,San Antonio_thunderstorm with rain,San Antonio_very heavy rain,San Antonio_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754318546725216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.27350759545465075,0.04724650963246205,0.15077022937010237,0.2280045513545794,0.0
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010084591440596329,0.0,0.010419466389591433,0.012899580190293499,0.0,0.0,0.0,0.0,0.0,0.21116081254744792,0.0,0.0,0.011401402637421789,0.01038641235776826,0.0,0.0,0.0,0.0,0.0,0.21509955033560868,0.1561984750837723,0.14716190990540767,0.20172965136868895,0.013458147743403119
2012-10-03,0.0,0.0,0.0,0.012055736968218425,0.0,0.0,0.010414007632240376,0.0,0.0,0.0,0.0,0.0,0.0,0.01022127430479767,0.0,0.0,0.0,0.0,0.0,0.013685692545818001,0.21439704987493344,0.0,0.0,0.0,0.0,0.0,0.0,0.013043791744815967,0.0,0.0,0.1878562402485404,0.138016174718856,0.15623216609592183,0.20930182641925263,0.034776039446605296
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.011138215916748068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895339508715368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974012109251937,0.07140983232873123,0.17173105445013584,0.2314891249854221,0.027296610522232218
2012-10-05,0.03354578448168102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041680289298408,0.0,0.042679125411281875,0.0,0.0,0.0,0.03240688500978443,0.1161435716548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803573074522038,0.10807658791919374,0.1816700100269174,0.20844362964769744,0.05499680909800261
2012-10-06,0.010901097216446774,0.0,0.0,0.0,0.010743442338684383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03595522855856107,0.0,0.05368771078557625,0.0,0.0,0.0,0.033100222843788545,0.12455368887594764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18188104948269604,0.09948755705661355,0.18385160865764705,0.2122932691098267,0.053545125074211976
2012-10-07,0.05979679961865771,0.0,0.0,0.0,0.0,0.0,0.01147685499825996,0.0,0.0,0.0,0.0,0.0,0.0,0.012696836812214356,0.0,0.08596432865965098,0.0,0.0,0.0,0.024254884888452077,0.10063853439899524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22002495268314362,0.041010993859646905,0.1857651719916249,0.22930654555176608,0.02906409653758817
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28465861497470263,0.0,0.0,0.0,0.0,0.012305667010534775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21408628748945122,0.02393902316835174,0.13264856835763916,0.23810902274245094,0.09425281625686956
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539851418464674,0.0,0.0,0.0,0.026641206125163724,0.04234732935333784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19782509175091004,0.02812271864194479,0.14381786557549267,0.2615435176809384,0.045717129025745096
2012-10-10,0.023699337768675565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954022662781676,0.0,0.0,0.0,0.010921943760042416,0.043087821877150136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18212687838719507,0.13486706957708897,0.15235838312514016,0.21126505629198092,0.04627124293455915
2012-10-11,0.04745637106007725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02521216730901436,0.0,0.0832728865690799,0.0,0.0,0.0,0.023554721224702407,0.09066334652835184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18926755300532946,0.10748945220056248,0.18820327442838694,0.19863772329770454,0.04624250437679076
