datetime,Chicago_broken clouds,Chicago_drizzle,Chicago_dust,Chicago_few clouds,Chicago_fog,Chicago_freezing rain,Chicago_haze,Chicago_heavy intensity drizzle,Chicago_heavy intensity rain,Chicago_heavy snow,Chicago_light intensity drizzle,Chicago_light rain,Chicago_light rain and snow,Chicago_light snow,Chicago_mist,Chicago_moderate rain,Chicago_overcast clouds,Chicago_proximity shower rain,Chicago_proximity thunderstorm,Chicago_proximity thunderstorm with drizzle,Chicago_proximity thunderstorm with rain,Chicago_scattered clouds,Chicago_sky is clear,Chicago_smoke,Chicago_snow,Chicago_squalls,Chicago_thunderstorm,Chicago_thunderstorm with drizzle,Chicago_thunderstorm with heavy rain,Chicago_thunderstorm with light drizzle,Chicago_thunderstorm with light rain,Chicago_thunderstorm with rain,Chicago_very heavy rain,Chicago_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31061732995694624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2267667373923783,0.0,0.2027985132120419,0.23157948035163842,0.0
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687678319596734,0.0,0.0,0.0,0.0,0.0,0.08288285988070783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19747717025977177,0.07320265818434697,0.22962019086318763,0.23124352471262435,0.0061225755922705875
2012-10-03,0.026126578123114613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13192517186456032,0.0,0.0,0.0,0.0,0.1312523202596806,0.03504982432155266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15867239505748196,0.07572382963358774,0.2186741691722104,0.2073252657812513,0.054388803597340336
2012-10-04,0.01341880420071613,0.0,0.0,0.0,0.0,0.0,0.011241199286858676,0.0,0.0,0.0,0.011206953006178709,0.010805324268153558,0.0,0.0,0.11281497498020132,0.010627202638090328,0.08926864975152543,0.0,0.0,0.0,0.0,0.0,0.032506735521445264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20040434629650053,0.11537028112432683,0.20149782891996115,0.19233199121844857,0.031233736913839197
2012-10-05,0.0,0.0,0.0,0.0217523101040334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010438049082741908,0.0,0.0,0.04348797810468139,0.03005872446641893,0.02199570816361816,0.0,0.0,0.0,0.0,0.010892234941433224,0.13340612770032528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17743184099380557,0.156096147153287,0.19331262831079588,0.18207473070959332,0.03403296075690752
2012-10-06,0.048430010910637256,0.0,0.0,0.010825297907060438,0.0,0.0,0.0,0.0,0.0,0.0,0.011232727862973418,0.04874567598866475,0.0,0.0,0.0,0.0,0.07908503807864414,0.0,0.0,0.0,0.0,0.0,0.0821074332336632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16082560793660247,0.19393466920607308,0.15783902159680913,0.1986640599525404,0.04181579231312386
2012-10-07,0.05722412361499548,0.0,0.0,0.011881651892204142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05686389807645276,0.0,0.0,0.0,0.0,0.05697855770673103,0.10077342389743103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12582211870220786,0.2181878437521788,0.14494285891809708,0.19600171706489358,0.04473313286510411
2012-10-08,0.0905930471135954,0.0,0.0,0.024172876628255614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11482030711374364,0.0,0.0,0.0,0.0,0.0,0.08275011146500483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218601918913125,0.22244177620004557,0.16576878079707177,0.1985873836184111,0.03241345442418015
2012-10-09,0.0,0.0,0.0,0.04951659809642157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2900144523149481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13686358247068203,0.1622080720590386,0.18209809749008576,0.21312333756688118,0.039089801676435075
2012-10-10,0.17196418757594126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04940931837541832,0.0,0.0,0.0,0.0,0.03761848816650536,0.07652232513502581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552757216701329,0.1541205305919527,0.20345043272347796,0.19755414250095937,0.06868565766678468
