datetime,San Francisco_broken clouds,San Francisco_drizzle,San Francisco_few clouds,San Francisco_fog,San Francisco_haze,San Francisco_heavy intensity drizzle,San Francisco_heavy intensity rain,San Francisco_heavy snow,San Francisco_light intensity drizzle,San Francisco_light intensity shower rain,San Francisco_light rain,San Francisco_light snow,San Francisco_mist,San Francisco_moderate rain,San Francisco_overcast clouds,San Francisco_proximity shower rain,San Francisco_proximity thunderstorm,San Francisco_proximity thunderstorm with rain,San Francisco_scattered clouds,San Francisco_shower rain,San Francisco_sky is clear,San Francisco_smoke,San Francisco_squalls,San Francisco_thunderstorm,San Francisco_thunderstorm with heavy rain,San Francisco_thunderstorm with light rain,San Francisco_thunderstorm with rain,San Francisco_very heavy rain,San Francisco_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026387360343654857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2763387520094456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2702089728703441,0.11176057498735448,0.13679341261777736,0.13851551741507998,0.012474854087879865
2012-10-02,0.011495165453564217,0.0,0.0,0.0,0.037987514279383926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012414660708387011,0.0,0.0,0.0,0.011967361635163147,0.0,0.2750178464677751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2229882864251476,0.08919305638204644,0.16967872025533992,0.15711657654147643,0.012140811851716143
2012-10-03,0.04222292447103961,0.0,0.013161171753363671,0.0,0.013811823980165866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033465668238558684,0.0,0.0,0.0,0.0,0.0,0.016832935529037,0.0,0.23795342669879685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159695084435531,0.09733444895626997,0.21017806382358487,0.15768825168257392,0.017656200431078597
2012-10-04,0.0,0.0,0.05449642234450555,0.075128628502435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06659762772988662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13018341034537992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18838630277382032,0.13684681816745636,0.18617817343502038,0.14199162667669182,0.02019099002480405
2012-10-05,0.06492480433802085,0.0,0.0777920519237519,0.0,0.037774253840935024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02758498982512203,0.0,0.0,0.0,0.0,0.0,0.06586682652141407,0.0,0.03650233496970556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21056447635403255,0.16846228721146472,0.13725095898897197,0.15855323116702913,0.01472378485955216
2012-10-06,0.057785418698565384,0.0,0.0,0.0,0.05852502737826205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10835678077683425,0.0,0.015410232329839594,0.0,0.0,0.0,0.055554504872130185,0.0,0.013609703179981607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22537046362167146,0.1394298896654905,0.131605992191789,0.17379113300391338,0.020560854281522548
2012-10-07,0.08434158618639871,0.0,0.01182556132227332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011570597451362567,0.0,0.0,0.0,0.01147490666039797,0.0,0.17095415810571932,0.0,0.011484855884885271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21010394164300425,0.17635571616433432,0.12638657616168994,0.16502372769839496,0.020478372721539375
2012-10-08,0.0119742327612345,0.0,0.10802431834623531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010788063269655099,0.0,0.0,0.0,0.05962701920966209,0.0,0.09889527052065013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2017772735555197,0.21179691833041958,0.11375791147677027,0.15460634584862257,0.02875264668123075
2012-10-09,0.02221665972277556,0.0,0.1001571627050719,0.0,0.0,0.0,0.0,0.0,0.015444922914737065,0.0,0.012761455042180514,0.0,0.01279659732393535,0.013197868319292627,0.02489993822791754,0.0,0.0,0.0,0.09294387759793961,0.0,0.0,0.0,0.0,0.01166808895922622,0.0,0.0,0.0,0.0,0.0,0.22457334173779875,0.17018088361928665,0.11758146223325645,0.1590894066695193,0.022488334927062457
2012-10-10,0.011862571472407796,0.0,0.10704080727822685,0.06803568386423256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015900042251960667,0.0,0.0,0.0,0.0,0.0,0.023726121839720532,0.0,0.09728807566886455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23710095193276412,0.12413559735843449,0.12647387353184322,0.17345797093150853,0.014978303870036657
