datetime,Miami_broken clouds,Miami_drizzle,Miami_few clouds,Miami_fog,Miami_haze,Miami_heavy intensity rain,Miami_light intensity drizzle,Miami_light intensity shower rain,Miami_light rain,Miami_mist,Miami_moderate rain,Miami_overcast clouds,Miami_proximity shower rain,Miami_proximity thunderstorm,Miami_scattered clouds,Miami_shower rain,Miami_sky is clear,Miami_smoke,Miami_squalls,Miami_thunderstorm,Miami_thunderstorm with heavy rain,Miami_thunderstorm with light rain,Miami_thunderstorm with rain,Miami_tornado,Miami_very heavy rain,Miami_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.23011715143359482,0.0,0.0,0.0,0.0,0.0,0.02299038086924436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2162195534522823,0.15339850442596314,0.20339156513233736,0.11681886106284893,0.034054207959834555
2012-10-02,0.16106686768961706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049785972655208066,0.033580262240475285,0.011122475382329562,0.01158316684720082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013890771826134733,0.0,0.0,0.0,0.0,0.0,0.21540707072139362,0.14007413155195422,0.20937951686424505,0.11803453204297715,0.03607523217846451
2012-10-03,0.03485540389687289,0.0,0.0110108543386292,0.0,0.011349521614116466,0.035178883668149245,0.02205817712894334,0.0,0.046151772241328055,0.03897410022727645,0.0,0.0625050939484976,0.0,0.0,0.0,0.0,0.022450804595446388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23409330922349378,0.11720427516685562,0.2038161872296768,0.13345973086490961,0.02689188585580454
2012-10-04,0.11933395335408516,0.0,0.0,0.0,0.011990962254662998,0.0,0.0,0.0,0.05016962054986664,0.013310607204983867,0.011175117962061538,0.053315521839117724,0.0,0.0,0.02403853653587489,0.0,0.01148457396460785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22720146018563084,0.06565087404797026,0.2208801827995154,0.16811982362305578,0.023328765678567027
2012-10-05,0.046182466745395445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129739245785995,0.0,0.0,0.02471097220537873,0.0,0.011873028578868884,0.05961553854179008,0.0,0.08337315505005367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172769702520072,0.06700174402636348,0.22833706428130107,0.16991248760884978,0.03041918025213169
2012-10-06,0.2001829123763099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05138531452194258,0.0,0.04728239073584927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20414249913997537,0.06385273925822,0.23627750283454052,0.1610252258199348,0.03585141531322755
2012-10-07,0.24358787428333487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05318458351891298,0.0,0.012975932450971386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21334530910712723,0.06186806791158986,0.23997967174965748,0.14691159392332617,0.028146967055080022
2012-10-08,0.04658116643841037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219844934640432,0.02602138667968711,0.0,0.05561518184672521,0.0,0.013574693290061855,0.0,0.0,0.048433003597331874,0.0,0.0,0.0,0.0,0.012462813979242593,0.0,0.0,0.0,0.0,0.2293955791870482,0.10189537587979175,0.21458220180373863,0.13927693146869555,0.01996321648286259
2012-10-09,0.1017465387899671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01379146070958536,0.09046554671832847,0.0,0.0,0.0,0.0,0.01347180943819095,0.0,0.04981158259971946,0.0,0.0,0.0,0.024929884734472513,0.013242766035415353,0.0,0.0,0.0,0.0,0.251378172421985,0.050001165223215384,0.22357477263955974,0.15142449799050753,0.016161802699053106
2012-10-10,0.11678769598994193,0.0,0.0,0.0,0.0,0.0,0.012269219288878834,0.0,0.037815102544573855,0.04043755389953352,0.0,0.0,0.0,0.0,0.04731477107273139,0.0,0.04650695777951519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210360176751143,0.07779326877579675,0.22976978391200628,0.15177809101064463,0.01849153805126334
2012-10-11,0.08607175318255572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038386877922458214,0.0,0.0,0.026045773589988774,0.0,0.0,0.013485841192890785,0.0,0.14021605623793465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21733460906842372,0.06077230185108117,0.2298189132164654,0.15297371868795323,0.03489415505024839
2012-10-12,0.10573806643405197,0.0,0.01383351335982496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17102532801295386,0.0,0.02389276244352011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19972579394131107,0.04549727831528922,0.2306171111310121,0.177237918847595,0.03243222751444172
2012-10-13,0.05368605070722954,0.0,0.0747214003890836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11834568199272501,0.0,0.05919022933126503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1677470868865478,0.08146273013770451,0.22537116333949267,0.1687285287213253,0.05074712849462653
