datetime,Minneapolis_broken clouds,Minneapolis_drizzle,Minneapolis_few clouds,Minneapolis_fog,Minneapolis_haze,Minneapolis_heavy intensity drizzle,Minneapolis_heavy intensity rain,Minneapolis_heavy snow,Minneapolis_light intensity drizzle,Minneapolis_light intensity shower rain,Minneapolis_light rain,Minneapolis_light rain and snow,Minneapolis_light shower snow,Minneapolis_light snow,Minneapolis_mist,Minneapolis_moderate rain,Minneapolis_overcast clouds,Minneapolis_proximity shower rain,Minneapolis_proximity thunderstorm,Minneapolis_proximity thunderstorm with drizzle,Minneapolis_proximity thunderstorm with rain,Minneapolis_scattered clouds,Minneapolis_shower snow,Minneapolis_sky is clear,Minneapolis_smoke,Minneapolis_snow,Minneapolis_squalls,Minneapolis_thunderstorm,Minneapolis_thunderstorm with heavy rain,Minneapolis_thunderstorm with light drizzle,Minneapolis_thunderstorm with light rain,Minneapolis_thunderstorm with rain,Minneapolis_very heavy rain,Minneapolis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.23706402116484868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.15238899084920848,0.23542663602595243,0.17577106143500404,0.12930764790809926,0.048490367965537226
2012-10-02,0.09612016106056447,0.0,0.022405187713696467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02130428718554588,0.0,0.0,0.0,0.0,0.08697291729759922,0.0,0.03293577087038074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11636252847017627,0.23618791033185915,0.18535208774157552,0.1314572355016407,0.07090191382696157
2012-10-03,0.0,0.0,0.024120538634618115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28786287174585146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13066257976070436,0.1405056430446834,0.2092665908479304,0.16121070585755012,0.04637107010866217
2012-10-04,0.0,0.0,0.05364575988870115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013378156551401456,0.0,0.256393380905286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296741478723852,0.11015861560500544,0.22620367698842123,0.16161249403198488,0.048933768156814626
2012-10-05,0.09621529276460784,0.0,0.014018717844147724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11264794607162171,0.0,0.0,0.0,0.0,0.05318660803980274,0.0,0.014610287881279493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12132544601867747,0.1722453325909333,0.19091478566830652,0.1479030138855904,0.11231915765714706
2012-10-06,0.06806780578860351,0.0,0.03242727721465397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08732350490053624,0.0,0.0,0.0,0.0,0.04308662214975365,0.0,0.03300550390405624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12353738643404338,0.20531454428393717,0.14356645572145557,0.1534047997384215,0.1205608820673757
2012-10-07,0.07504438596814368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18536877672878485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13149620419008606,0.23059910154608665,0.13716690911355303,0.1573612487416287,0.08296337371171696
2012-10-08,0.025117766777824735,0.0,0.12155418946586209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140361923798426,0.0,0.0,0.0,0.0,0.05188656287286276,0.0,0.0941460052872941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13751937009999723,0.16515286389090938,0.1627900698670199,0.1868575022879997,0.04229525503476483
2012-10-09,0.04262782295890697,0.0,0.02781020794878947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012730206080863934,0.0,0.0,0.0,0.0,0.0,0.1053875748168217,0.0,0.0,0.0,0.0,0.027040091645630333,0.0,0.11196384082054855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11066144030931624,0.16255078166421844,0.19298553674503996,0.15259304541685045,0.06287123828545697
2012-10-10,0.046941283316750425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03294899659003185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13095778089531643,0.0,0.0,0.0,0.0,0.0,0.0,0.07259162782167856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13789700637928956,0.2137800893947899,0.1711148255584534,0.12408682611973337,0.07542727252309357
2012-10-11,0.04735393880743977,0.0,0.03610939428715793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01327565740332285,0.0,0.0,0.0,0.0,0.04994145806189246,0.0,0.14631722942547076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13252518526274645,0.2194399542133235,0.1617564620171007,0.13163661571450178,0.07268787024560604
