datetime,Tel Aviv District_broken clouds,Tel Aviv District_drizzle,Tel Aviv District_dust,Tel Aviv District_few clouds,Tel Aviv District_fog,Tel Aviv District_haze,Tel Aviv District_heavy intensity rain,Tel Aviv District_heavy intensity shower rain,Tel Aviv District_light intensity drizzle,Tel Aviv District_light intensity shower rain,Tel Aviv District_light rain,Tel Aviv District_mist,Tel Aviv District_moderate rain,Tel Aviv District_overcast clouds,Tel Aviv District_proximity thunderstorm,Tel Aviv District_ragged shower rain,Tel Aviv District_scattered clouds,Tel Aviv District_shower rain,Tel Aviv District_sky is clear,Tel Aviv District_smoke,Tel Aviv District_snow,Tel Aviv District_thunderstorm,Tel Aviv District_thunderstorm with heavy rain,Tel Aviv District_thunderstorm with light rain,Tel Aviv District_thunderstorm with rain,Tel Aviv District_very heavy rain,Tel Aviv District_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24627044308385135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16381232808072796,0.1834271977897979,0.17887797748148776,0.20271517463761632,0.0025086568279868117
2012-10-02,0.011138978891125867,0.0,0.0,0.011301522617882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26421626225078365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19490277308587636,0.10402204935655578,0.18261731719537344,0.21773792058845828,0.014063176013944226
2012-10-03,0.032419710980227605,0.0,0.0,0.022778281612112622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09760818454928472,0.0,0.11321232712478825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20253540167131914,0.15018265711967502,0.16301450074883342,0.20496248657961938,0.013286449614139807
2012-10-04,0.0,0.0,0.0,0.07856480901143172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044674859195718564,0.0,0.15082143620431615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17223443650002693,0.1717523790336353,0.15850044358028448,0.21225322616310668,0.011198410311480195
2012-10-05,0.025030867122165155,0.0,0.0,0.049722193068048204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123271079189524,0.0,0.08434608106435738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17365359608770078,0.1528569884723911,0.1644878112148699,0.21454333635891157,0.012088047422031891
2012-10-06,0.012271690142514497,0.0,0.0,0.021867085622107877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17675966838540916,0.0,0.0779892789809627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1896360468561258,0.1277716358984649,0.1617182896263176,0.2193194567903015,0.012666847697795908
2012-10-07,0.0,0.0,0.0,0.07244973661535355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09264382247363769,0.0,0.12092757694181828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17932167918693218,0.14542248379465833,0.1560737379478803,0.21918540518515447,0.013975557854565257
2012-10-08,0.012524420803657982,0.0,0.0,0.16330966924732074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05762162674949226,0.0,0.05400954897617585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766962162279,0.14554887175214412,0.15528191491212212,0.21955518893322742,0.015452542397959538
2012-10-09,0.012400050878462498,0.0,0.0,0.0608681671316326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1939344675296071,0.0,0.012442364219964523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18176508707034844,0.15974863099802492,0.15142413937056864,0.2130476634299577,0.014369429371433493
2012-10-10,0.0,0.0,0.0,0.16412173709901298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023185394054103654,0.0,0.09443061954714176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1918990568851071,0.15454063316924624,0.15036363665315874,0.20841262192844656,0.013046300663782944
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28901081440656096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18071795990613485,0.1879488854914876,0.1513595024755992,0.18391739774969204,0.007045439970525359
2012-10-12,0.0,0.0,0.0,0.03557516410472806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2561044473540705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16401914296006517,0.14672075199871062,0.16526574194507146,0.2150691060995508,0.01724564553780337
2012-10-13,0.0,0.0,0.0,0.0922498536222401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01132812708301724,0.0,0.1827130531909981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19034139167476363,0.14235756884112824,0.15495426688903308,0.21374777181401358,0.012307966884806018
