datetime,Indianapolis_broken clouds,Indianapolis_drizzle,Indianapolis_few clouds,Indianapolis_fog,Indianapolis_freezing rain,Indianapolis_haze,Indianapolis_heavy intensity drizzle,Indianapolis_heavy intensity rain,Indianapolis_heavy snow,Indianapolis_light intensity drizzle,Indianapolis_light intensity shower rain,Indianapolis_light rain,Indianapolis_light snow,Indianapolis_mist,Indianapolis_moderate rain,Indianapolis_overcast clouds,Indianapolis_proximity thunderstorm,Indianapolis_proximity thunderstorm with rain,Indianapolis_scattered clouds,Indianapolis_sky is clear,Indianapolis_snow,Indianapolis_squalls,Indianapolis_thunderstorm,Indianapolis_thunderstorm with heavy rain,Indianapolis_thunderstorm with light drizzle,Indianapolis_thunderstorm with light rain,Indianapolis_thunderstorm with rain,Indianapolis_very heavy rain,Indianapolis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28310658637145025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2206025348348963,0.034315949863206095,0.18038674742020075,0.18721931938642974,0.06863189972641218
2012-10-02,0.026258489640063876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012778849397645786,0.0,0.0,0.02513497672759772,0.24341960673074148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21542214240006952,0.03530321661731186,0.18896110313937334,0.18515285532406686,0.06756876002312949
2012-10-03,0.0,0.04736200989327233,0.0,0.0,0.0,0.0,0.0,0.0241741700298382,0.0,0.023851594181960176,0.0,0.02376914292337894,0.0,0.08336261613041059,0.012400889909279561,0.07109075141154035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263166024317624,0.02892876943825542,0.17724949979961424,0.1682497845445514,0.07639474742027479
2012-10-04,0.06580265890329408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011489348839111992,0.0,0.11894376683765208,0.0,0.042380886296922216,0.0,0.0,0.02304024091760601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21102668153251125,0.13524824519999545,0.17132444178736514,0.16298551206626316,0.05775821761927862
2012-10-05,0.033433641258619716,0.0,0.0779140870889493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11450791389169653,0.045464560823391974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640003437828589,0.151938597132818,0.1853267932730043,0.17535137786990093,0.05206268487876035
2012-10-06,0.04074123549529606,0.0,0.04422561445869375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493903218019636,0.0,0.00973430773029362,0.01005441843184005,0.040306575614471936,0.01015895992707406,0.0,0.010696673098054646,0.02184614094989922,0.0,0.0,0.013607537194834431,0.0,0.0,0.0,0.0,0.0,0.0,0.20227397164884456,0.18932852204648074,0.1515957469041286,0.16233454527809524,0.043705429420029474
2012-10-07,0.09811248714111638,0.0,0.010393165654202166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020860461739497,0.0,0.0,0.009927584046548534,0.042066993383889785,0.0,0.0,0.04675805182196085,0.04217761048293247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18857426675262232,0.19835261080296587,0.13239268630483272,0.16762224003406367,0.05341369895747027
2012-10-08,0.035284705916802044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23566031379384197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15292954454142876,0.22310728117103096,0.14041009927098438,0.17669499192643223,0.04228512773537251
2012-10-09,0.0,0.0,0.22007362956917853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014170048746520642,0.0,0.0,0.0,0.0,0.0,0.0,0.09372414242234199,0.05508677482632235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16550726387867504,0.0645533512269482,0.1888510202334179,0.251439451999137,0.01555567704690631
2012-10-10,0.0,0.0,0.08590866084130465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048089863621451234,0.1681627308910174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15651263215900507,0.15943676059321835,0.16257106197228785,0.19206879571559052,0.053334932899292475
