datetime,Atlanta_broken clouds,Atlanta_drizzle,Atlanta_few clouds,Atlanta_fog,Atlanta_haze,Atlanta_heavy intensity drizzle,Atlanta_heavy intensity rain,Atlanta_heavy snow,Atlanta_light intensity drizzle,Atlanta_light intensity shower rain,Atlanta_light rain,Atlanta_light shower snow,Atlanta_light snow,Atlanta_mist,Atlanta_moderate rain,Atlanta_overcast clouds,Atlanta_proximity thunderstorm,Atlanta_proximity thunderstorm with rain,Atlanta_scattered clouds,Atlanta_sky is clear,Atlanta_smoke,Atlanta_snow,Atlanta_squalls,Atlanta_thunderstorm,Atlanta_thunderstorm with drizzle,Atlanta_thunderstorm with heavy rain,Atlanta_thunderstorm with light drizzle,Atlanta_thunderstorm with light rain,Atlanta_thunderstorm with rain,Atlanta_very heavy rain,Atlanta_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-12,0.0,0.0,0.0,0.028258854696099327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056327928887395184,0.0,0.0,0.0,0.0,0.0,0.24671593847572162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22967385354568123,0.049558622390378775,0.1866568575256842,0.19600833781254126,0.006799606666498356
2012-10-13,0.027979749034148238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12778479820135233,0.0,0.0,0.010542006176587683,0.13701595434447503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18677069489186193,0.12599552973700567,0.1931267607500603,0.1711530268327439,0.01963148003176499
2012-10-14,0.0,0.0,0.01342831498108363,0.02597329146038102,0.0,0.0,0.0,0.0,0.01362580603143409,0.0,0.0,0.0,0.0,0.026330305830288957,0.0,0.05052925236507422,0.0,0.0,0.0,0.18184383019686334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21607968240294428,0.04706199487887588,0.19844112843999284,0.19424301694025883,0.03244337647280288
2012-10-15,0.03617948479729322,0.0,0.02461252437819651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10166280838188095,0.0,0.0,0.012172659371344043,0.12869796259383412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20513268839603527,0.09667269439524212,0.18929812429381296,0.1774165378964884,0.02815451549587243
2012-10-16,0.03347759080517395,0.0,0.012043822432885792,0.0,0.0,0.0,0.011500028590039534,0.0,0.011244567382296634,0.0,0.011966613717231804,0.0,0.0,0.044835547490490436,0.010991589284115059,0.03506143167829015,0.0,0.0,0.047081987436546256,0.05865540848459771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19132517233686633,0.1796872874491748,0.18448462208557634,0.12985494831625669,0.03778938251045857
2012-10-17,0.0,0.0,0.0,0.0,0.01496873657924963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385301408660222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2085392497879446,0.05689362104268674,0.19616332237589174,0.16585327327349608,0.01905165607470899
2012-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014894057818718075,0.0,0.0,0.0,0.0,0.0,0.33622230092640887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295066913880488,0.04615030153251307,0.19953031968851306,0.15548348892578692,0.018212839720011243
2012-10-19,0.0511139827799523,0.0,0.012688433276588251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02412494844957815,0.0,0.0,0.05779757497076019,0.0,0.03555072027437864,0.0,0.0,0.02565659303811037,0.10956501657503036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21136060960039948,0.11728387976171721,0.19147356103929722,0.12646445189350408,0.03692022834068374
2012-10-20,0.012138647778972481,0.0,0.0144794520007867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2843818107056411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18094485969043156,0.17819700204804334,0.1775161062796553,0.12391617318380584,0.035965317466431675
2012-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32593909904354895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20367734687452074,0.15211272374173293,0.16286516741468582,0.13869122223122862,0.016714440694282916
2012-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014524264942771538,0.0,0.0,0.0,0.0,0.0,0.33147218126584416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22474133332023252,0.05803872659443734,0.18748783135353422,0.17064578389535487,0.013089878627825359
2012-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3427057243799044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23186580653287214,0.02985474513689172,0.19673378453634602,0.1949998519714143,0.003840087442571341
