datetime,Philadelphia_broken clouds,Philadelphia_drizzle,Philadelphia_few clouds,Philadelphia_fog,Philadelphia_freezing rain,Philadelphia_haze,Philadelphia_heavy intensity drizzle,Philadelphia_heavy intensity rain,Philadelphia_heavy snow,Philadelphia_light intensity drizzle,Philadelphia_light intensity shower rain,Philadelphia_light rain,Philadelphia_light rain and snow,Philadelphia_light snow,Philadelphia_mist,Philadelphia_moderate rain,Philadelphia_overcast clouds,Philadelphia_proximity thunderstorm,Philadelphia_scattered clouds,Philadelphia_shower rain,Philadelphia_sky is clear,Philadelphia_smoke,Philadelphia_snow,Philadelphia_squalls,Philadelphia_thunderstorm,Philadelphia_thunderstorm with heavy rain,Philadelphia_thunderstorm with light rain,Philadelphia_thunderstorm with rain,Philadelphia_very heavy rain,Philadelphia_volcanic ash,Philadelphia_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.2325780345491453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16426598700550987,0.19382146790679722,0.1570241279323466,0.20513652563715706,0.026030399282758018
2012-10-02,0.1944771723268169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01129104094582087,0.0,0.05589490024053751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12873787256494004,0.20172991370500126,0.1767128168543475,0.2113183764957954,0.01983790686674051
2012-10-03,0.03480240163818446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022783698480894825,0.0,0.0,0.0685962153248219,0.0,0.15215054468999537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21286001852258554,0.07367893591527538,0.19306305753345895,0.22573390592195905,0.016331221972824557
2012-10-04,0.020174605821220794,0.0,0.0,0.11480567464840229,0.0,0.020138160400167353,0.0,0.0,0.0,0.0,0.0,0.011761919943307936,0.0,0.0,0.04421187938664803,0.0,0.04261109149884507,0.0,0.0,0.0,0.01597462454762055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23304262359146646,0.06950646043383324,0.2016366342535499,0.22082238200485382,0.015024052786395669
2012-10-05,0.02388611195653086,0.0,0.0,0.0,0.0,0.0,0.0,0.01085974281663491,0.0,0.0,0.0,0.0,0.0,0.0,0.14005525174147526,0.0,0.055580993838290634,0.0,0.02465910986319832,0.0,0.02255265606678285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23101624193641732,0.04679828997258643,0.21017679407330314,0.2310977092398839,0.0033170984948963657
2012-10-06,0.0,0.0,0.032353692786372595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10171168541049065,0.0,0.012251820473787317,0.0,0.032827559944440594,0.0,0.07557492486767108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663860235996056,0.16505660133685862,0.18410307358842948,0.2104887742629349,0.0192458437294091
2012-10-07,0.031343520593442926,0.0,0.0109126834059207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052891394679026454,0.0,0.03105287966454758,0.0,0.05168766108561373,0.0,0.0762089791826061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16784672022051914,0.16161039999468188,0.17987011925844765,0.20376249434449054,0.03281314757070331
2012-10-08,0.02432251918201843,0.0,0.042824435015407475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061912652286210436,0.0,0.0,0.0,0.0,0.038044594733015843,0.0,0.04805645513638418,0.0,0.06680912524784127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698677099376645,0.14420301542946642,0.1584015129963735,0.23305830508937342,0.012499674946244524
2012-10-09,0.033589635044750835,0.0,0.020349023014838874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010132357315012866,0.0,0.0,0.06369623236077727,0.0,0.049846932392656244,0.0,0.0239472824541019,0.0,0.07436714555336675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20420724294952294,0.12304287891680697,0.14779554477610254,0.23414555076328272,0.014880174458780066
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09478930590427664,0.0,0.0,0.07024469570992013,0.0,0.07063738786065654,0.0,0.0,0.0,0.0755894825668022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023123910732278,0.051981753123573,0.1805455270899435,0.2616649559636222,0.02595323255351596
2012-10-11,0.010187372121082658,0.0,0.02218695270222278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010103094675215285,0.0,0.0,0.05622572580912272,0.0,0.04831673769396259,0.0,0.03191016262856334,0.0,0.09128996805743399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2137563626227826,0.09696673471464774,0.17612610316128072,0.21815115279894656,0.024779633014739035
