datetime,Detroit_broken clouds,Detroit_drizzle,Detroit_few clouds,Detroit_fog,Detroit_freezing rain,Detroit_haze,Detroit_heavy intensity drizzle,Detroit_heavy intensity rain,Detroit_heavy shower snow,Detroit_heavy snow,Detroit_light intensity drizzle,Detroit_light intensity drizzle rain,Detroit_light intensity shower rain,Detroit_light rain,Detroit_light shower sleet,Detroit_light shower snow,Detroit_light snow,Detroit_mist,Detroit_moderate rain,Detroit_overcast clouds,Detroit_proximity shower rain,Detroit_proximity thunderstorm,Detroit_scattered clouds,Detroit_shower rain,Detroit_shower snow,Detroit_sky is clear,Detroit_smoke,Detroit_snow,Detroit_squalls,Detroit_thunderstorm,Detroit_thunderstorm with heavy rain,Detroit_thunderstorm with light rain,Detroit_thunderstorm with rain,Detroit_very heavy rain,Detroit_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-11,0.03634828514171371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021690751968064304,0.0,0.0,0.0,0.0,0.010985323697235818,0.10335367390845185,0.0,0.0,0.023908393856095222,0.0,0.0,0.08782366831991367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15745638569868345,0.19580914450409356,0.1748032050976227,0.09112914753265079,0.09669202027547491
2012-10-12,0.0117532743020051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011922147184956175,0.0,0.0,0.023800603493418854,0.0,0.0,0.25018273492461623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14498592377349054,0.17410355681032208,0.17255724335359937,0.14487647552754918,0.06581804063004244
2012-10-13,0.010912414900263491,0.010826665141052025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011080831180029962,0.0,0.0,0.0,0.0,0.0,0.0,0.024235848180496386,0.0,0.0,0.026861542951124345,0.0,0.0,0.22795162739014496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12825086377730077,0.17454376752663095,0.18774692251588407,0.17023417025162804,0.05407427613904931
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011450011060861208,0.09078889784327755,0.0,0.0,0.0,0.0,0.0,0.026721359342414958,0.0,0.0,0.014704765467582726,0.0,0.0,0.21937230002234018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2417024384144573,0.03282320826224716,0.201265793538509,0.20241924199447758,0.009106658723510947
2012-10-15,0.0,0.011891789362939971,0.0,0.0,0.0,0.0,0.0,0.022120773236661274,0.0,0.0,0.0,0.0,0.010904457531853854,0.04498139465088838,0.0,0.0,0.0,0.08951439235215398,0.010933006463323729,0.023045730357503718,0.0,0.0,0.01178333973839449,0.0,0.0,0.05809598295396096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22760926519296257,0.16068341102654843,0.20622073652004483,0.09077235851015007,0.05989452025173401
2012-10-16,0.023351793104036882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02255816250276078,0.0,0.0,0.0,0.0,0.0,0.22699548901329406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17844683700663486,0.20149905030659762,0.17806348325689228,0.07413047002549948,0.09495471478428397
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11780581535884915,0.0,0.0,0.011732620759885239,0.0,0.0,0.20530843705200288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17003987669290707,0.15834179135853133,0.20298536623530758,0.13283459144757084,0.036376475405968195
2012-10-18,0.03738948049163726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012767438156578314,0.0,0.0,0.03129714587100399,0.0,0.0,0.0,0.0,0.01276458997467383,0.05107643925286251,0.0,0.0,0.027032105461803763,0.0,0.0,0.14751517107044845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17878279177402343,0.1320634205835024,0.21984046361331278,0.0937210083029465,0.055749945447206815
2012-10-19,0.0643107440694509,0.0,0.0,0.0,0.0,0.0,0.0,0.0115315778707092,0.0,0.0,0.0,0.0,0.0,0.0755030223362022,0.0,0.0,0.0,0.015030998206488152,0.011895327887977418,0.02515784645781859,0.0,0.0,0.05134818104132347,0.0,0.0,0.055772559757600794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19282835636191975,0.14567381838406798,0.21472696434724947,0.06600180872795355,0.07825330939965183
2012-10-20,0.05590393622237308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012862228650639289,0.0,0.013227174544138036,0.03983656559927793,0.0,0.0,0.0,0.0,0.012818905105440101,0.09529900780576415,0.0,0.0,0.06506898107993732,0.0,0.0,0.04182677310751246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18215604465693105,0.1382439694849574,0.21458111586537443,0.08368766010545449,0.05207747296623905
