datetime,Boston_broken clouds,Boston_drizzle,Boston_dust,Boston_few clouds,Boston_fog,Boston_freezing rain,Boston_haze,Boston_heavy intensity drizzle,Boston_heavy intensity rain,Boston_heavy snow,Boston_light intensity drizzle,Boston_light rain,Boston_light rain and snow,Boston_light snow,Boston_mist,Boston_moderate rain,Boston_overcast clouds,Boston_proximity thunderstorm,Boston_scattered clouds,Boston_sky is clear,Boston_snow,Boston_squalls,Boston_thunderstorm,Boston_thunderstorm with heavy rain,Boston_thunderstorm with light rain,Boston_thunderstorm with rain,Boston_very heavy rain,Boston_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.2703495814395807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027104781351290023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.20782306858933158,0.05530970847588374,0.20998872960856316,0.15370847455222006,0.04867435027486977
2012-10-02,0.0,0.0,0.0,0.18784081416301654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294491511229662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20576400565025987,0.06197616266470818,0.214079776220388,0.1494599381370098,0.051430152041651404
2012-10-03,0.011036469445840436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011500457223938517,0.06546765534155975,0.0,0.0,0.04716492478301749,0.011142921071591075,0.021844836139450704,0.0,0.0,0.10900439000322508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23371916775844473,0.11773053184584481,0.18672214700523826,0.12911090383783755,0.05555559554401158
2012-10-04,0.0,0.0,0.0,0.0,0.010851021083042216,0.0,0.0,0.0,0.0,0.0,0.0,0.07803370315327322,0.0,0.0,0.1810611049257765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234012857633607,0.13890930309926727,0.1870669370769592,0.1429659821001395,0.03771066279818134
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044077446322360464,0.0,0.0,0.13245487742387382,0.0,0.021517428911571452,0.0,0.0,0.07105196141508273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18698459770840817,0.18094525155559793,0.1841046825608592,0.15348210346185046,0.025381650640395714
2012-10-06,0.0,0.0,0.0,0.0,0.010391534499021018,0.0,0.0,0.0,0.0,0.0,0.0,0.011063457920815202,0.0,0.0,0.11819444466467736,0.0,0.0,0.0,0.0,0.15980304590932518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19074959070959085,0.10422895153240076,0.21437540786146023,0.1646180560767503,0.026575510825959058
2012-10-07,0.0,0.0,0.0,0.013758821031849422,0.013454577683732432,0.0,0.011205696517582764,0.0,0.0,0.0,0.0,0.012250786856322048,0.0,0.0,0.07817335526114477,0.0,0.02304960600885835,0.0,0.01373571346078068,0.1380806316798266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21764664485637294,0.09655493188567121,0.215405733642659,0.14440508404950994,0.02227841706568989
2012-10-08,0.01177661849672376,0.0,0.0,0.011119202783051584,0.014457555341396547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05750531325697267,0.0,0.04035268826697045,0.0,0.0,0.18536403915039537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23387815259083175,0.09161368974624823,0.18691071585232186,0.15873852695108528,0.008283497564002517
2012-10-09,0.03909815224785518,0.0,0.0,0.0,0.026794250454835966,0.0,0.0,0.0,0.0,0.0,0.012042970275417196,0.02300704758456332,0.0,0.0,0.05175003933351746,0.010111272313245295,0.02285957505150535,0.0,0.0,0.1117806294896964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23195533697322548,0.07350739528650778,0.16996615213477048,0.16225312896937052,0.06487404988548957
2012-10-10,0.013138897285037312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012705282096476034,0.009746326118270985,0.0,0.0,0.019585685288444798,0.011888138486671236,0.06808967785478699,0.0,0.0,0.15853537885093427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23677358605289087,0.08340924413674898,0.1751039637037649,0.1563985198794386,0.054625300246535065
