datetime,Pittsburgh_broken clouds,Pittsburgh_drizzle,Pittsburgh_dust,Pittsburgh_few clouds,Pittsburgh_fog,Pittsburgh_freezing rain,Pittsburgh_haze,Pittsburgh_heavy intensity drizzle,Pittsburgh_heavy intensity rain,Pittsburgh_heavy snow,Pittsburgh_light intensity drizzle,Pittsburgh_light rain,Pittsburgh_light rain and snow,Pittsburgh_light snow,Pittsburgh_mist,Pittsburgh_moderate rain,Pittsburgh_overcast clouds,Pittsburgh_proximity shower rain,Pittsburgh_proximity thunderstorm,Pittsburgh_proximity thunderstorm with rain,Pittsburgh_scattered clouds,Pittsburgh_sky is clear,Pittsburgh_snow,Pittsburgh_squalls,Pittsburgh_thunderstorm,Pittsburgh_thunderstorm with heavy rain,Pittsburgh_thunderstorm with light rain,Pittsburgh_thunderstorm with rain,Pittsburgh_very heavy rain,Pittsburgh_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027895462898714116,0.0,0.0,0.0,0.0,0.0,0.27844561739345314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.30956572324261117,0.0,0.18722823891069426,0.16901576843705746,0.0
2012-10-02,0.013365906112482062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03005145232439473,0.0,0.0,0.027199460060017,0.0,0.0,0.0,0.0,0.0,0.19404266168600037,0.07184408899373942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602388718472993,0.020101532336883932,0.20963408750468793,0.1673460263871068,0.006175912747388415
2012-10-03,0.039771421754094934,0.0,0.0,0.01313280693215113,0.0,0.0,0.0,0.0,0.0,0.0,0.012054290191176986,0.06305179881564499,0.0,0.0,0.04941367677393916,0.0,0.09176722830748542,0.0,0.0,0.0,0.0,0.038571165152705346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24589423411523925,0.07186373200839175,0.22176993368584927,0.13859435976586096,0.014115352497460818
2012-10-04,0.04609146971575967,0.0,0.0,0.01112761226441769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0770665763318959,0.0,0.0,0.0,0.02247914837832588,0.12091217584330943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21217175235319288,0.1365916754596217,0.21378816329866726,0.14340567673731536,0.016365749617494187
2012-10-05,0.09927063865567474,0.0,0.0,0.01136392123938741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08580275050445507,0.09555483732852849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18688925063273054,0.12008844570378369,0.21534285266575023,0.17042728599700255,0.015260017272687262
2012-10-06,0.058140621942119636,0.0,0.0,0.036588007397359935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011429584044149782,0.0,0.0,0.0,0.02321976928524865,0.1523294335968947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762874551431118,0.15334901168206114,0.2084022497936092,0.15649597387014,0.0237578932453052
2012-10-07,0.0586357176943167,0.0,0.0,0.047960419020345084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021246347275090328,0.0,0.0,0.042867963650624015,0.0,0.03668591033698552,0.0,0.0,0.0,0.012134867803449032,0.06313790889101316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18424453270076013,0.1961010143583296,0.18343243068670212,0.14113703232549077,0.027769566315290168
2012-10-08,0.022438261264253263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011611564903785877,0.046331417061937934,0.0,0.0,0.0,0.0,0.15833985767359868,0.0,0.0,0.0,0.0,0.06157527005716782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1853447149778041,0.17885790793252945,0.16608920048004008,0.16448535452054763,0.012649147585743627
2012-10-09,0.04918117976540021,0.0,0.0,0.0,0.05197266507769211,0.0,0.028478777834045326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03814600274703043,0.0,0.08481208489888666,0.0,0.0,0.0,0.0,0.06145705460304859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24879401432655157,0.08349027581251513,0.15800297260784654,0.18714651861889223,0.00851845370809119
2012-10-10,0.0,0.0,0.0,0.027239511608585235,0.059935747995784334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025479715150311565,0.0,0.04237405955139905,0.0,0.0,0.0,0.02761018391306209,0.1574137372522462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22986519793079116,0.06427667080946085,0.18056059213804418,0.18926144024517202,0.0055608599855929974
