datetime,Vancouver_broken clouds,Vancouver_drizzle,Vancouver_dust,Vancouver_few clouds,Vancouver_fog,Vancouver_haze,Vancouver_heavy intensity rain,Vancouver_heavy intensity shower rain,Vancouver_heavy shower snow,Vancouver_heavy snow,Vancouver_light intensity drizzle,Vancouver_light intensity drizzle rain,Vancouver_light intensity shower rain,Vancouver_light rain,Vancouver_light rain and snow,Vancouver_light shower sleet,Vancouver_light shower snow,Vancouver_light snow,Vancouver_mist,Vancouver_moderate rain,Vancouver_overcast clouds,Vancouver_proximity shower rain,Vancouver_proximity thunderstorm,Vancouver_ragged thunderstorm,Vancouver_scattered clouds,Vancouver_shower rain,Vancouver_shower snow,Vancouver_sky is clear,Vancouver_sleet,Vancouver_smoke,Vancouver_snow,Vancouver_thunderstorm,Vancouver_thunderstorm with heavy rain,Vancouver_thunderstorm with light rain,Vancouver_thunderstorm with rain,Vancouver_very heavy rain,Vancouver_volcanic ash,Vancouver_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.3234675312264597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035227275080825717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2942616369300835,0.06471497135396181,0.24971996665346152,,0.0
2012-10-02,0.182630215667837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016637910388339363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11028565314179051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22777721253754948,0.17426768003402315,0.2056135819423495,0.1528389162242049,0.0
2012-10-03,0.0,0.0,0.0,0.01606368714213229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29724246134382115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115071963849671,0.1326606368034308,0.20487394419127072,0.19767827779644975,0.005866555603411439
2012-10-04,0.014638639460453351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37309950578308365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16110220733409905,0.09422536539862532,0.24592391388033352,0.25749818015501647,0.009111645954913386
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977496443967543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14578637825367682,0.14229558069710702,0.24596488152086568,0.2211154542308936,0.0066472285757713315
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542053302637976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1263162069557219,0.10736754112159358,0.22537333851730393,0.22994614208658937,0.00469688732303302
2012-10-07,0.0,0.0,0.0,0.01399512529076389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40742805970998813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16395793709744114,0.10649721930980649,0.2742118598181826,0.23302202660231366,0.006934525289169984
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40198723751556176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114924678650028,0.1045910883818859,0.26599987281736076,0.22150317028359598,0.004614471654498762
2012-10-09,0.0,0.0,0.0,0.0,0.036335946700275845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3419495427855627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111341316092835,0.09306286755988592,0.2474882296096258,0.19099376610593385,0.006364693033388232
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960852693517297,0.0,0.0,0.0,0.0,0.0,0.0,0.31083719572369933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324288946098961,0.06986634389701765,0.21176155589356369,0.20531407574292554,0.019751216564823627
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021113471339159612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31104875372177904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22297838344011037,0.12171672021889396,0.2058482472880413,0.21228638105859715,0.01248773376040637
2012-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15208426800301997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19833685455865857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3058234069542732,0.08436181183546439,0.21710052179263759,0.2062716783260269,0.0034678592308676373
2012-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10297171235201501,0.014529702561850563,0.0,0.0,0.0,0.0,0.0641205591682826,0.0,0.056106242651988054,0.0,0.0,0.0,0.0,0.0,0.0,0.10502917157528162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2868125857984265,0.11411412367265877,0.2142019319676425,0.15280845296093754,0.02222940029326016
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03952650820847842,0.029435862186337453,0.0,0.0,0.0,0.0,0.16005704096159082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11303668585052125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145818280711618,0.08151181028792963,0.22080620630850042,0.1817475406490871,0.025898429738056308
2012-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058341584035854634,0.01781097159689975,0.0,0.0,0.0,0.0,0.028445012487536354,0.014279003608252896,0.038462361926150546,0.0,0.0,0.0,0.0,0.0,0.0,0.16477323331884894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27392639747960534,0.09476338302274474,0.21530751571003437,0.17754930211492573,0.05415246061780407
2012-10-16,0.01820196202534129,0.0,0.0,0.0,0.06652154748061427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05289307820004402,0.012276883719020837,0.0,0.0,0.0,0.0,0.05964768293457922,0.0,0.03591518969066624,0.0,0.0,0.0,0.0,0.0,0.0,0.10740472440314475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805834862750643,0.13182866553975867,0.22744783258487558,0.18379065673395142,0.047201167691176375
