datetime,Houston_broken clouds,Houston_drizzle,Houston_dust,Houston_few clouds,Houston_fog,Houston_haze,Houston_heavy intensity drizzle,Houston_heavy intensity rain,Houston_heavy intensity shower rain,Houston_light intensity drizzle,Houston_light rain,Houston_light snow,Houston_mist,Houston_moderate rain,Houston_overcast clouds,Houston_proximity moderate rain,Houston_proximity shower rain,Houston_proximity thunderstorm,Houston_proximity thunderstorm with rain,Houston_sand,Houston_scattered clouds,Houston_shower rain,Houston_sky is clear,Houston_smoke,Houston_squalls,Houston_thunderstorm,Houston_thunderstorm with drizzle,Houston_thunderstorm with heavy rain,Houston_thunderstorm with light drizzle,Houston_thunderstorm with light rain,Houston_thunderstorm with rain,Houston_very heavy rain,Houston_volcanic ash,Houston_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.11908670585166824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048383808399366235,0.0,0.09424071102535457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.24260889460904148,0.20454875235718284,0.13145890489489617,0.10640685689657077,0.029473436395338868
2012-10-02,0.11292926985853648,0.0,0.0,0.0116029998623709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10742453470186415,0.0,0.056319131027316616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15910449194821671,0.20743369839453596,0.15655736201107276,0.1081863058326595,0.08044220636342687
2012-10-03,0.03925792078567226,0.0,0.0,0.09645699536736933,0.0,0.017368951031138127,0.0,0.0,0.0,0.0,0.026715146128493693,0.0,0.022567166292629864,0.011268544272360315,0.012411202442802556,0.0,0.0,0.0,0.0,0.0,0.03769228899022639,0.0,0.03512700218896503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18022230763972458,0.17633161955523854,0.1781646021716731,0.12982915965996894,0.036587093473737266
2012-10-04,0.0,0.0,0.0,0.040424293787201915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599569117779681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014409242360238834,0.0,0.011889645476203735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22109907748918997,0.07359166680667217,0.19112693351598006,0.15595574955632854,0.03154647923021673
2012-10-05,0.023913457892433654,0.0,0.0,0.038611342049800386,0.012344451314141412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17340212859525628,0.0,0.011688331949993346,0.0,0.0,0.0,0.0,0.0,0.013893881434177068,0.0,0.024008593125686994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20404106343309714,0.09920231958659985,0.1923915968648003,0.15592605254404535,0.050576781209968204
2012-10-06,0.0,0.0,0.0,0.048387599843557144,0.012100023906741628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14860601355797107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06276879959528255,0.0,0.026761688515981884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22048280461899325,0.09070320233171324,0.19786764140346366,0.1568850179684394,0.03543720825785619
2012-10-07,0.054890216876347674,0.0,0.0,0.06912167917398775,0.027935403714872867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05574102760228427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04176173548540348,0.0,0.07205486689116876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000864453938,0.05063192608178884,0.2070761949903643,0.15567921827899364,0.025107722260249068
2012-10-08,0.025650031190410722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02521734180568806,0.0,0.21873715314779496,0.0,0.0,0.0,0.0,0.0,0.02772993008182866,0.0,0.01388026528528045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20843836650361536,0.048996412333136834,0.15002234826132807,0.16426400411493514,0.11706414727598176
2012-10-09,0.03262821872745509,0.0,0.0,0.0,0.03549365879117302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16137669966796606,0.0,0.0,0.0,0.0,0.0,0.05358919101526618,0.0,0.04014715505518237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936757910797172,0.08137361960044212,0.14791719206553486,0.17873195740708167,0.08251368148214318
2012-10-10,0.03414755301243125,0.0,0.0,0.057170291280030226,0.0,0.03626323970588818,0.0,0.0,0.0,0.0,0.0257620176871258,0.0,0.0,0.0,0.12092409483325565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041113087451590216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580003307478091,0.08791399752704333,0.16704595418628207,0.16457726990328783,0.03928246133828448
