datetime,Nahariyya_broken clouds,Nahariyya_drizzle,Nahariyya_dust,Nahariyya_few clouds,Nahariyya_fog,Nahariyya_haze,Nahariyya_heavy intensity rain,Nahariyya_heavy intensity shower rain,Nahariyya_light rain,Nahariyya_mist,Nahariyya_moderate rain,Nahariyya_overcast clouds,Nahariyya_proximity thunderstorm,Nahariyya_scattered clouds,Nahariyya_shower rain,Nahariyya_sky is clear,Nahariyya_thunderstorm,Nahariyya_thunderstorm with heavy rain,Nahariyya_thunderstorm with light rain,Nahariyya_thunderstorm with rain,Nahariyya_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19376448968360335,0.0,0.0,0.0,0.04305877548524519,0.0,0.0,0.0,0.0,0.08333333333333333,0.12509707404134393,0.24112914271737307,0.207516417574254,0.13751028300126714,0.03039442975429072
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16147040806966947,0.0,0.0,0.0,0.0989186327612181,0.0,0.0,0.0,0.0,0.0,0.1330962251546702,0.21545460999509133,0.2061555873460257,0.13859416689385975,0.046310369779465406
2012-10-03,0.01004636818386774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243063697202242,0.0,0.0,0.0,0.0,0.0,0.17130327422278202,0.183127315444141,0.187160093880933,0.13471987351196185,0.07057937755407243
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606167911535507,0.0,0.0,0.0,0.0,0.0,0.18140808139716383,0.19218097458741545,0.1782801672732772,0.1387153888397933,0.048798596748799584
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26474363948120355,0.0,0.0,0.0,0.0,0.0,0.18258324466280484,0.19770477294056255,0.17967773542995244,0.14091193714322148,0.034378670342255245
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26424175741965067,0.0,0.0,0.0,0.0,0.0,0.16664420738443908,0.21621222176378252,0.17749726151337616,0.14064480636852397,0.03475974555022762
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25779453814419334,0.0,0.0,0.0,0.0,0.0,0.16566588948022082,0.23387808941776767,0.16954428653102757,0.13721322191545796,0.0359039745113327
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267930557910509,0.0,0.0,0.0,0.0,0.0,0.1641460862427625,0.21813502935069187,0.17639409262820324,0.14260820017817438,0.030786033689658973
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27038960416562313,0.0,0.0,0.0,0.0,0.0,0.16737717393351903,0.2026464666674268,0.17694848652873243,0.14391704737847708,0.03872122132622149
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760011718660624,0.0,0.0,0.0,0.0,0.0,0.16559926878557882,0.19293364730817852,0.18273968223872952,0.1469038495416141,0.035822380259836646
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901087386793969,0.0,0.0,0.0,0.0,0.0,0.17561118179876598,0.1633959348897756,0.19031349608874223,0.1498467041182868,0.03072394442503255
2012-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27384594389015576,0.0,0.0,0.0,0.0,0.0,0.17159613344602662,0.17033126929754713,0.18492350621572506,0.14109086597474707,0.05821228117579838
2012-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27292353518277823,0.0,0.0,0.0,0.0,0.0,0.1693938003405732,0.1761458789095071,0.18074696115410052,0.14526575259728544,0.05552407181575547
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27150314113138546,0.0,0.0,0.0,0.0,0.0,0.15949424395138848,0.18204839350283797,0.1872621918418473,0.14450973640864087,0.055182293163899936
2012-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655754206431684,0.0,0.0,0.0,0.0,0.0,0.17050725790192942,0.18035837039386896,0.1801024102658055,0.14135465937458988,0.06210188142063793
2012-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28109093166841814,0.0,0.0,0.0,0.0,0.0,0.18606337636775017,0.12035104035407423,0.19352280092267402,0.14961291524286796,0.06935893544421551
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302758178029667,0.0,0.0,0.0,0.0,0.0,0.18459826733904453,0.0638859201282831,0.21537098414511568,0.16114548185450042,0.07224116850338931
2012-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111511797121672,0.0,0.0,0.0,0.0,0.0,0.1681176932317726,0.06859775461172905,0.22199655140147198,0.1656127246855086,0.0645240963573506
2012-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30192951559796166,0.0,0.0,0.0,0.0,0.0,0.14696649566941172,0.13194223110666406,0.21457025832489376,0.16070441959246373,0.04388707970860504
2012-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29828712860837164,0.0,0.0,0.0,0.0,0.0,0.14530928179394995,0.1525663449536631,0.2077389555343169,0.15773231340410915,0.038365975705589195
2012-10-21,0.010824919364279774,0.0,0.0,0.06046019910929229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07847774946466081,0.0,0.13493511619717208,0.0,0.0,0.0,0.0,0.0,0.17156258855331286,0.18424462135149064,0.18826300088790546,0.14849229431246141,0.022739510759424722
2012-10-22,0.03351836490405687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25694866905127994,0.0,0.0,0.0,0.0,0.0,0.17845309134765855,0.14866209974720676,0.195555678523222,0.15279987631798544,0.034062220108590426
2012-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2808711188295862,0.0,0.0,0.0,0.0,0.0,0.15497465015042408,0.19370310958378037,0.18869665456336218,0.1494959180867155,0.032258548786131665
2012-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682927543366871,0.0,0.0,0.0,0.0,0.0,0.15436509485709007,0.2297334916596713,0.17357006817504939,0.1428009821469466,0.03123760882455556
2012-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010158833183068686,0.0,0.0,0.0,0.2502116891318486,0.0,0.0,0.0,0.0,0.0,0.1511572513509728,0.24091539204895196,0.16883451088737078,0.1376011973757074,0.041121126022079756
2012-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27206120434283004,0.0,0.0,0.0,0.0,0.0,0.16331498991100227,0.19834226362647592,0.17054363707221343,0.14370341851064913,0.05203448653682923
2012-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275718128533704,0.0,0.0,0.0,0.0,0.0,0.18353626419871302,0.17990385167113873,0.1657662814944442,0.14675319744535878,0.04832227665664138
2012-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29336975372215296,0.0,0.0,0.0,0.0,0.0,0.18906638376633278,0.15616864593096744,0.17676589722968253,0.15614841730372683,0.028480902047137463
2012-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32759517091346907,0.0,0.0,0.0,0.0,0.0,0.18973654264496054,0.08230758295660225,0.20291022405916406,0.17436517161523382,0.023085307810570263
2012-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305122225419435,0.0,0.0,0.0,0.0,0.0,0.1634322043088123,0.053836894121499994,0.2229032276337257,0.17591779586909925,0.053397655524919256
2012-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3072082885662877,0.0,0.0,0.0,0.0,0.0,0.15497090915151351,0.12676990620872364,0.2081375535149461,0.163514089075605,0.03939925348292412
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033357606080583,0.0,0.0,0.0,0.0,0.0,0.1635744987829634,0.14058234466717415,0.2054026741410523,0.16145290483977323,0.025651816960978662
2012-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064476626858514,0.0,0.0,0.0,0.0,0.0,0.16514936742035138,0.10323766132404756,0.21639290382772672,0.16310923981666312,0.045663164925359774
2012-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29713796062873016,0.0,0.0,0.0,0.0,0.0,0.17269690752394726,0.06740735060057751,0.20545538317634193,0.15815407581851793,0.09914832225188526
2012-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3049372125558912,0.0,0.0,0.0,0.0,0.0,0.16612322765254345,0.06645480645804842,0.20558585362524803,0.16230529055394236,0.09459360915432659
