datetime,Dallas_broken clouds,Dallas_drizzle,Dallas_dust,Dallas_few clouds,Dallas_fog,Dallas_haze,Dallas_heavy intensity drizzle,Dallas_heavy intensity rain,Dallas_heavy snow,Dallas_light intensity drizzle,Dallas_light rain,Dallas_light snow,Dallas_mist,Dallas_moderate rain,Dallas_overcast clouds,Dallas_proximity shower rain,Dallas_proximity thunderstorm,Dallas_proximity thunderstorm with rain,Dallas_scattered clouds,Dallas_sky is clear,Dallas_smoke,Dallas_snow,Dallas_squalls,Dallas_thunderstorm,Dallas_thunderstorm with drizzle,Dallas_thunderstorm with heavy drizzle,Dallas_thunderstorm with heavy rain,Dallas_thunderstorm with light drizzle,Dallas_thunderstorm with light rain,Dallas_thunderstorm with rain,Dallas_tornado,Dallas_very heavy rain,Dallas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02226808549979088,0.0,0.0,0.0,0.0,0.0,0.0,0.22438127496547125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2265943946278548,0.24969663074932635,0.14490235208375857,0.09359027116468438,0.016144321775908067
2012-10-02,0.0,0.0,0.0,0.16161220335114776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12970385508688634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18359104760121112,0.22884586037353324,0.1802865889789543,0.0994739759573457,0.01648646865092159
2012-10-03,0.19291074328304994,0.0,0.0,0.025309922597335544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024180916540731668,0.0,0.0,0.0,0.023880879046467976,0.0373164746642116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13871205540344428,0.2359257034851632,0.1932530896693401,0.11153575818594208,0.01697445712431355
2012-10-04,0.03491046551629067,0.0,0.0,0.13099327823877746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06695039614431157,0.13006631142053282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1779328468716164,0.08151553604040845,0.22509239836631678,0.14015970626149707,0.012379061140248775
2012-10-05,0.038400696497425425,0.0,0.0,0.025592006926947807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541279968903602,0.0,0.0,0.0,0.0,0.23164430361137453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16820730834240824,0.14116825660207463,0.21101565766692945,0.13346837296557726,0.02509059769822668
2012-10-06,0.12402907964980718,0.0,0.0,0.024761287442368624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08953489577381563,0.0,0.0,0.0,0.022701968913803636,0.0393233676322512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18291566229851838,0.16301658559538187,0.20881703347861238,0.12531714688665588,0.019582972328785204
2012-10-07,0.01162951061290874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015388746129032483,0.011510655480794897,0.0,0.0,0.0,0.2851630093302941,0.0,0.0,0.0,0.015418683592490962,0.015198020718281531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22567223607617257,0.0648360121503503,0.1658790777118144,0.1591980427834141,0.030106005414445944
2012-10-08,0.015670161154961684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518357074656318,0.0,0.0,0.0,0.30763691106975927,0.0,0.0,0.0,0.0,0.0315088230166245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172304291479193,0.04001563182975766,0.1578732319703671,0.1936732439699144,0.02836180073762275
2012-10-09,0.01786311303628646,0.0,0.0,0.061578463820348844,0.0,0.0,0.0,0.0,0.0,0.0,0.012236064675218997,0.0,0.0,0.0,0.06357530013299054,0.0,0.0,0.0,0.0146374894016806,0.20216743936163664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023912672652575,0.08373479838916048,0.15728855065439099,0.17997989794425087,0.0045476153187780895
2012-10-10,0.0,0.0,0.0,0.07079942534985989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07802837836801983,0.0,0.0,0.0,0.014757067616513055,0.16645744277567773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20718219683921824,0.13075609743077146,0.1749658286414185,0.13290522743819747,0.024148335540323817
2012-10-11,0.026830614598186614,0.0,0.0,0.0,0.02528042595776181,0.02790931741617675,0.0,0.0,0.0,0.0,0.0,0.0,0.06657372188914826,0.0,0.013751396633380692,0.0,0.0,0.0,0.0,0.1602256714431616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575174089699239,0.08462167349369289,0.19357048834240917,0.12000932394903129,0.02370995730712705
2012-10-12,0.0931902359322974,0.0,0.0,0.013459105202118954,0.0,0.0,0.0,0.0,0.0,0.0,0.012971818697546622,0.0,0.08523338965690093,0.0,0.0789166151989345,0.0,0.0,0.0,0.0,0.023982304128377846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23901047154150853,0.10584412412359552,0.1960484452707092,0.1352678176421461,0.016075672605864375
2012-10-13,0.061431603895111854,0.0,0.0,0.025223161260532173,0.0,0.011933512975485712,0.0,0.0,0.0,0.0,0.0,0.0,0.08477747105247334,0.0,0.011511497706396168,0.0,0.0,0.0,0.06482584932834778,0.037010295174809034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20345236847955503,0.13959678118881708,0.20801674492163233,0.1278919680263972,0.02432874599044227
2012-10-14,0.09738716503989425,0.0,0.0,0.01290889146478152,0.0,0.0,0.0,0.0,0.0,0.0,0.024577454444415753,0.0,0.0,0.0,0.06153156398048965,0.0,0.0,0.0,0.036761735391417895,0.0639851773927849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20480842925660867,0.13654531961659197,0.20285926226610865,0.12132807086101945,0.03730693028588728
2012-10-15,0.04865004952926055,0.0,0.0,0.038935559843097184,0.012247238218695266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011719358010659127,0.0,0.02450301176284993,0.0,0.0,0.0,0.03901969075518275,0.13413459032841843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19921234085013018,0.15460016097482324,0.20012660618451406,0.1192298474795979,0.01762154606277139
2012-10-16,0.1279214051988933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03469390680045037,0.0,0.0,0.0,0.015110082865222092,0.18102910780759096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19320490616298605,0.07670618083724502,0.21468898257572497,0.15328389078083757,0.003361536971049644
2012-10-17,0.10202087833586125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04144003766495516,0.0,0.0,0.0,0.013552829932451623,0.18414714224110915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889878637548376,0.13346180097373586,0.1988262209684725,0.1234468489977321,0.014116377130844746
2012-10-18,0.025492024937887686,0.0,0.0,0.0257125364008443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11444272291008815,0.0,0.0,0.0,0.02552926733123284,0.11715031647646867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19599727530429087,0.17995456644136187,0.20263920484122713,0.08249380109239912,0.03058828426419936
2012-10-19,0.0,0.0,0.0,0.1249714466647583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25507061423633914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536544276632017,0.15691644579348912,0.22297790720171726,0.137639142341721,0.020615894444251714
2012-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37219746561464334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12433952824163376,0.1503744878313469,0.19647717876068085,0.14745097086513506,0.009160368686560061
2012-10-21,0.0,0.0,0.0,0.04199685628987752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05339493104457224,0.2750502317331653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19588025302509085,0.09085098000288706,0.20372348901732795,0.12905418923036335,0.010049069656715745
2012-10-22,0.049792832160277044,0.0,0.0,0.02582749955008601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11151127630704095,0.0,0.0,0.0,0.013019202662658982,0.10320524166264426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1980509896406497,0.15176686419934682,0.2170511167254018,0.09684914592606066,0.03292583116583372
2012-10-23,0.13799120700510212,0.0,0.0,0.051228409637373414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06201795665504206,0.0,0.0,0.0,0.0,0.05024714812193509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988684157452867,0.14232823970878494,0.21032657053452533,0.11252711050192282,0.034464942090027505
2012-10-24,0.12429310220303182,0.0,0.0,0.04946067534343305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012402374321470956,0.0,0.0,0.0,0.06279393652898395,0.051466114215546734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21228490651356213,0.13871374163808764,0.20356264033219032,0.11232933008486844,0.03269317881882492
2012-10-25,0.1012630139223783,0.0,0.0,0.0,0.0,0.012103670684250195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06549319712334108,0.12805098442591686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19113657948690385,0.14701845294097562,0.20714192994305755,0.11499178938488493,0.032800382088291585
2012-10-26,0.13837821433543943,0.0,0.0,0.012839705734735815,0.0,0.0,0.0,0.0,0.0,0.0,0.011242179276401955,0.0,0.0,0.0,0.03554668070493369,0.0,0.0,0.0,0.025498349543601917,0.07672732316610763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20159828103798805,0.1648849442698542,0.19540154879328056,0.10595547924257254,0.03192729389508415
2012-10-27,0.039310842278024685,0.0,0.0,0.02877008921880077,0.0,0.0,0.0,0.0,0.0,0.0,0.04615522876333936,0.0,0.0,0.0,0.17926801053845653,0.0,0.0,0.0,0.0,0.028355438354802972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16988365892622764,0.18309538704360662,0.14132797878797015,0.14900218929428577,0.041909662583078267
2012-10-28,0.0,0.0,0.0,0.11618135992731538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22905499917897665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15667398497723561,0.17395637348881363,0.13307014693362554,0.17548189246013987,0.022109325741278173
2012-10-29,0.0,0.0,0.0,0.11723736805659908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024923916827720338,0.2377945206426059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1480744836650813,0.14811538355231893,0.15104598786253806,0.18637251811025526,0.011114901893727935
2012-10-30,0.0,0.0,0.0,0.08595977561449114,0.0,0.10127025903564947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035805632793711045,0.1819338145814419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16787209862367702,0.05773600633235267,0.17212701612439743,0.19956484403691677,0.004725223633349088
2012-10-31,0.016957875542471766,0.0,0.0,0.0667851570661472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013690559885224898,0.28172981141480086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17012137053731477,0.12732723407513763,0.1807909008460553,0.16440735255565916,0.0065432998334074835
