datetime,Saint Louis_broken clouds,Saint Louis_drizzle,Saint Louis_few clouds,Saint Louis_fog,Saint Louis_freezing rain,Saint Louis_haze,Saint Louis_heavy intensity drizzle,Saint Louis_heavy intensity rain,Saint Louis_heavy snow,Saint Louis_light intensity drizzle,Saint Louis_light intensity shower rain,Saint Louis_light rain,Saint Louis_light snow,Saint Louis_mist,Saint Louis_moderate rain,Saint Louis_overcast clouds,Saint Louis_proximity thunderstorm,Saint Louis_proximity thunderstorm with rain,Saint Louis_scattered clouds,Saint Louis_shower drizzle,Saint Louis_sky is clear,Saint Louis_sleet,Saint Louis_smoke,Saint Louis_snow,Saint Louis_squalls,Saint Louis_thunderstorm,Saint Louis_thunderstorm with heavy rain,Saint Louis_thunderstorm with light drizzle,Saint Louis_thunderstorm with light rain,Saint Louis_thunderstorm with rain,Saint Louis_very heavy rain,Saint Louis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3274866338896894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.24641967511064056,0.0338012225260014,0.20767567739903753,0.09923837390596613,0.05560690499687501
2012-10-02,0.015795866685500166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01583628067280772,0.0,0.0,0.0,0.0,0.3342488244256053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24262712027663644,0.027398437039652945,0.22255058363729616,0.09795569162393525,0.04358719563856605
2012-10-03,0.0,0.0,0.011400467499943237,0.0,0.0,0.0,0.0,0.0,0.0,0.01175437807753871,0.0,0.025120292540478418,0.0,0.0,0.0,0.024140990495872944,0.0,0.0,0.015599078395589943,0.0,0.21841222392773127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840402178924038,0.2025316745952148,0.18759979334768348,0.08288116433024532,0.03651971889729804
2012-10-04,0.042009550649918244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030051333877685816,0.0,0.10388928216820632,0.0,0.0,0.0,0.09681400552722004,0.0,0.0,0.013422359825400014,0.0,0.0392539325147117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21824293027297037,0.1119141600448393,0.215620880556508,0.10936795069369702,0.019413613868843167
2012-10-05,0.04324443042650981,0.0,0.038602433897935336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285390860285776,0.0,0.0,0.0,0.0,0.01417141301183622,0.0,0.19001847627967072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496798675656692,0.11557542407950659,0.2267379960229352,0.130190711317526,0.011345305686970482
2012-10-06,0.014336676421118745,0.0,0.0,0.0,0.0,0.0,0.0,0.010618882801674875,0.0,0.0135682539157537,0.0,0.07018340768919361,0.0,0.023811476502169287,0.020639847192959294,0.07375952553446131,0.0106616113669425,0.0,0.012451597263477986,0.0,0.03585763796390728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21856406150158642,0.17542939087436793,0.15824264718892553,0.12820927039943533,0.04277254927992566
2012-10-07,0.01193851958947114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010646801021303982,0.0,0.0,0.0,0.026001199385253915,0.015296793519982881,0.0,0.013733042715732046,0.0,0.21295532852748755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2033936313099421,0.23186634996681244,0.1366406885307669,0.1356058822099065,0.035820701774997556
2012-10-08,0.0382334554164368,0.0,0.036439194097393705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329558717054544,0.0,0.0,0.011365374301264802,0.0,0.16057195755269973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15191852587040705,0.24812445055903762,0.15128379722141247,0.14555737503218094,0.03751985282415684
2012-10-09,0.0,0.0,0.03194491935774585,0.014937420145917752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08305027892826033,0.0,0.0,0.0,0.0,0.0,0.0,0.24713832058301302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2136904407672126,0.0772635216522384,0.18113942046708484,0.1672825809854214,0.010264402209007423
2012-10-10,0.0,0.0,0.013746833484081662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193301737794064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20005954474145493,0.13268693725383296,0.18470828271899142,0.123487080925177,0.025981147097055624
