datetime,Toronto_broken clouds,Toronto_drizzle,Toronto_few clouds,Toronto_fog,Toronto_freezing rain,Toronto_haze,Toronto_heavy intensity rain,Toronto_heavy intensity shower rain,Toronto_heavy shower snow,Toronto_heavy snow,Toronto_light intensity drizzle,Toronto_light intensity drizzle rain,Toronto_light intensity shower rain,Toronto_light rain,Toronto_light rain and snow,Toronto_light shower sleet,Toronto_light shower snow,Toronto_light snow,Toronto_mist,Toronto_moderate rain,Toronto_overcast clouds,Toronto_proximity shower rain,Toronto_proximity thunderstorm,Toronto_rain and snow,Toronto_scattered clouds,Toronto_shower rain,Toronto_shower snow,Toronto_sky is clear,Toronto_snow,Toronto_squalls,Toronto_thunderstorm,Toronto_thunderstorm with heavy rain,Toronto_thunderstorm with light rain,Toronto_thunderstorm with rain,Toronto_very heavy rain,Toronto_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501005612760238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.189021726201858,0.1475404934358101,0.17736582397521025,0.1701554579331969,0.043079522516444285
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010854836834777984,0.0,0.0,0.0,0.010749450049407453,0.0,0.0,0.3201793638498292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284364842464523,0.049988357843863185,0.22875965460930625,0.19479187751528912,0.05623997505107447
2012-10-03,0.025945639885983376,0.0,0.013177079605179045,0.0,0.0,0.024637914592838584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06051996473433554,0.0,0.0,0.0,0.0,0.0,0.0,0.21127739462243075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18031243383659432,0.04481595586828429,0.2233327891835385,0.19534218531917683,0.036290918149795875
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01152135993430984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08575809162404735,0.0,0.034219601568050935,0.0,0.0,0.0,0.0,0.0,0.0,0.17224825738221147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24530180095165585,0.0295842664198423,0.20718923938386882,0.17893140564518203,0.05292236069903299
2012-10-05,0.030529253988667942,0.0,0.0,0.022373137580818363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014822587305102523,0.0,0.0,0.0,0.0,0.0,0.05794689226072348,0.0,0.035063202897504975,0.0,0.0,0.0,0.0,0.0,0.0,0.14464050906248246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20367455785148464,0.06074331890983826,0.215552465247127,0.19004135120094248,0.04101755323915903
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169890021645839,0.01283454276015908,0.0,0.0,0.0,0.0,0.0,0.0,0.04233908114979232,0.0,0.0,0.0,0.0,0.0,0.0,0.2807318644185473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11941764199640018,0.04009657025063972,0.24474328932049683,0.2003269542360382,0.05584374521302743
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015162672557303853,0.03717313402726857,0.0,0.0,0.0,0.0,0.0,0.0,0.03735876504219881,0.010874272504174075,0.0,0.0,0.0,0.0,0.0,0.24091010763798634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14763126311599115,0.08860955261491112,0.20554583630703918,0.19332578057723437,0.06602824607754566
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04215648257903771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021839427972999047,0.03736172929294884,0.0,0.0,0.0,0.0,0.0,0.23420161221489633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17874598725581842,0.11453886866023194,0.1840248281318024,0.1925145847791374,0.04102405061749743
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010501192223839438,0.0,0.0,0.0,0.0,0.0,0.0,0.031952452592251275,0.0,0.0,0.0,0.020910883142265937,0.0,0.0,0.24699064141225022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18256914034262176,0.10391067642307972,0.171230001938381,0.19095587065814332,0.04097914126716732
2012-10-10,0.011627557613394119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34177972742842816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15628795163033113,0.022487005571204897,0.2073199185731274,0.2004847928246715,0.060013046358842824
