datetime,Phoenix_broken clouds,Phoenix_drizzle,Phoenix_dust,Phoenix_few clouds,Phoenix_fog,Phoenix_haze,Phoenix_heavy intensity rain,Phoenix_heavy snow,Phoenix_light intensity drizzle,Phoenix_light intensity shower rain,Phoenix_light rain,Phoenix_mist,Phoenix_moderate rain,Phoenix_overcast clouds,Phoenix_proximity sand/dust whirls,Phoenix_proximity shower rain,Phoenix_proximity thunderstorm,Phoenix_scattered clouds,Phoenix_shower rain,Phoenix_sky is clear,Phoenix_smoke,Phoenix_thunderstorm,Phoenix_thunderstorm with heavy rain,Phoenix_thunderstorm with light rain,Phoenix_thunderstorm with rain,Phoenix_very heavy rain,Phoenix_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-14,0.0,0.0,0.0,0.04102816693124001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013308995028005399,0.0,0.29860776535505634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13346299385288676,0.0904776417026163,0.16741954762764877,0.24843228965136466,0.007262599851181731
2012-10-15,0.0,0.0,0.0,0.08529068853976661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28740178200272076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12026505389244306,0.08128789217113862,0.19913417474479064,0.2535624498804877,0.004210250749730146
2012-10-16,0.0,0.0,0.0,0.0737778954692184,0.0,0.04830883352306518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618005579507637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07594012332883673,0.06459379205021411,0.23264974829963633,0.2554330578778476,0.0076315509947662355
2012-10-17,0.0,0.0,0.0,0.013227433345316992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936989679115835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411247661957242,0.08623613625308348,0.23527128871648492,0.25905131981011986,0.006693326451261861
2012-10-18,0.0,0.0,0.0,0.12277859286609788,0.0,0.013973243668023364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05450988198352153,0.0,0.18531801148713536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09086394575692747,0.07929416691933393,0.21362743959114483,0.2454818511471458,0.008167274785006213
2012-10-19,0.049859242293548565,0.0,0.0,0.03286000261495781,0.0,0.01621943954169648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11149799296188566,0.0,0.1494150430732952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10724020241723503,0.07598023055159142,0.20412928422765844,0.244680936196676,0.008117626121455378
2012-10-20,0.0,0.0,0.0,0.05387060001437217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04682837422017786,0.0,0.2662576015360519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044401884044538,0.07095880910394173,0.20888574600576562,0.24805019165605222,0.00506016357603697
2012-10-21,0.0,0.0,0.0,0.12306426293255816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07227955081268275,0.0,0.311733759224677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045056066147446984,0.0938748504368772,0.27547156002836914,0.18348558697740147,0.009576966868046008
2012-10-22,0.017421742467299522,0.0,0.0,0.06194732190541879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094869175419403,0.0,0.0,0.0,0.16614661605318073,0.0,0.10554664840294951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09237509906480673,0.08317902144333945,0.21345277893439762,0.23354325536095197,0.00929264719223625
2012-10-23,0.0,0.0,0.0,0.1286492421039286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03764860532462546,0.0,0.1908938374533662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15952859617494355,0.08416310152236922,0.19310692924525133,0.2291986242023614,0.00920499900459633
