datetime,Portland_broken clouds,Portland_drizzle,Portland_dust,Portland_few clouds,Portland_fog,Portland_freezing rain,Portland_haze,Portland_heavy intensity rain,Portland_heavy snow,Portland_light intensity drizzle,Portland_light rain,Portland_light snow,Portland_mist,Portland_moderate rain,Portland_overcast clouds,Portland_proximity thunderstorm,Portland_scattered clouds,Portland_sky is clear,Portland_sleet,Portland_smoke,Portland_snow,Portland_thunderstorm,Portland_thunderstorm with light rain,Portland_very heavy rain,Portland_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31063947260499064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2589430030341075,0.05308812259493655,0.13343890674551806,0.21565054296544817,0.0
2012-10-02,0.0,0.0,0.0,0.037130866494152155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960383653824426,0.06346742712416803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847310811489847,0.16946405765405256,0.14065952801462336,0.18759663519200961,0.02091203898956703
2012-10-03,0.038679807124349104,0.0,0.0,0.15400173218978316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594298897606888,0.0,0.011861420592449634,0.045799019909085685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17735762655239387,0.1662353718077876,0.15569605176520884,0.1727950886517539,0.041630892431119296
2012-10-04,0.0,0.0,0.0,0.036925782962956434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25930978449438463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13343708250087796,0.16031133501583103,0.14245240514552934,0.18489179574412992,0.08267181413629067
2012-10-05,0.0,0.0,0.0,0.028896467739734883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014720187029406752,0.2737476359199424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007859630563772,0.15065339545213915,0.16596117137474942,0.19818905197575895,0.07124554257924029
2012-10-06,0.0,0.0,0.0,0.04656662160596606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014242349110230758,0.2683939063931075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10925811040269982,0.11326751734597852,0.17081450490704916,0.20699240371184205,0.07046458652312614
2012-10-07,0.0,0.0,0.0,0.038821088589096636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30197196058552217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486592626266974,0.10304463392515799,0.17624978032865302,0.20525944844524283,0.08769265571888007
2012-10-08,0.0,0.0,0.0,0.01372104171637758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32494947221503473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766486115882685,0.14647685049548825,0.1773083932752814,0.18864728823081534,0.059370831338078085
2012-10-09,0.0,0.0,0.0,0.012237960163977352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017575886047893233,0.3553112933873545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19302404322139244,0.05871383269891909,0.17565182427793014,0.20227775863545117,0.009335406969756188
2012-10-10,0.0,0.0,0.0,0.052993972636416836,0.0,0.0,0.011133019043083054,0.0,0.0,0.0,0.0,0.0,0.03868837573237364,0.0,0.04070283487795213,0.0,0.0,0.1972373133453326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18450929664231386,0.15200176623652076,0.15057139753056015,0.19096101386008354,0.01195255953574912
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.023275213077789042,0.0,0.0,0.0,0.0,0.0,0.02571316667352173,0.0,0.0,0.0,0.0,0.2919014257197276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14757792605045617,0.18565646105064726,0.16011535738495286,0.18099812471787471,0.015507726585542302
2012-10-12,0.0,0.0,0.010940383092888839,0.03230915942039648,0.025035623570716713,0.0,0.052842007161505035,0.0,0.0,0.0,0.0,0.0,0.11489902370014388,0.0,0.0,0.0,0.0,0.07764994764603766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23975532865842336,0.13968867643351038,0.1341678045922213,0.16454940982980548,0.01815244125511855
2012-10-13,0.0,0.0,0.0901549301515178,0.05791149727055169,0.0,0.0,0.0,0.0,0.0,0.0,0.024407464424278463,0.0,0.07498680533617924,0.011911503563626484,0.025576347965348925,0.0,0.0,0.03047048393016528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2290487348191432,0.13168842623222818,0.14214848614011452,0.16209586669198361,0.02914315075899362
2012-10-14,0.022987827582095655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866595126625395,0.0,0.046512894665628766,0.011251711518612898,0.12755306358552956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24152325824484913,0.13572910395779933,0.1321283330276921,0.16551962643537613,0.04812822971616245
