datetime,New York_broken clouds,New York_drizzle,New York_dust,New York_few clouds,New York_fog,New York_freezing rain,New York_haze,New York_heavy intensity drizzle,New York_heavy intensity rain,New York_heavy snow,New York_heavy thunderstorm,New York_light intensity drizzle,New York_light intensity shower rain,New York_light rain,New York_light rain and snow,New York_light snow,New York_mist,New York_moderate rain,New York_overcast clouds,New York_proximity thunderstorm,New York_proximity thunderstorm with drizzle,New York_proximity thunderstorm with rain,New York_sand,New York_sand/dust whirls,New York_scattered clouds,New York_shower rain,New York_sky is clear,New York_smoke,New York_snow,New York_squalls,New York_thunderstorm,New York_thunderstorm with heavy rain,New York_thunderstorm with light drizzle,New York_thunderstorm with light rain,New York_thunderstorm with rain,New York_very heavy rain,New York_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-11,0.03620130348006378,0.02345863777004284,0.0,0.015201131029602383,0.0,0.0,0.0,0.011526855334020364,0.0,0.0,0.0,0.011797986069084975,0.0,0.0,0.0,0.0,0.03450584178921998,0.01155665059154156,0.025799724122292048,0.0,0.0,0.0,0.0,0.0,0.023070158930719332,0.0,0.09452567921695752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2392358510817394,0.07417478088336701,0.179791141279622,0.168094696356225,0.051059562065501767
2012-10-12,0.0,0.0,0.0,0.11439392625085908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01163961510989775,0.0,0.0,0.0,0.0,0.0,0.022480233151628327,0.0,0.1367669676749945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11630599794596197,0.22066265678768957,0.16602360671256924,0.17867109077005405,0.059884867369424805
2012-10-13,0.05588946309376342,0.0,0.0,0.011423966974577579,0.011839853147701113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021183309954901298,0.0,0.0,0.0,0.0,0.010443040322126543,0.0,0.0,0.0,0.0,0.0,0.03385407460956988,0.0,0.14959131137352497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15096359370964862,0.18128333889453466,0.15908922223183494,0.18726346536762045,0.0475583041863181
2012-10-14,0.01239308914032968,0.0,0.0,0.10591351884335376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03990220097367925,0.0,0.1643964857063565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12925569044306773,0.11485156312128703,0.15695756117538398,0.24958387290615422,0.03751732522731013
2012-10-15,0.1725992873598061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05561971558118308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685688006170833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15683263660851185,0.18031989212464805,0.18410241899841584,0.1887121185830399,0.05083592265923714
2012-10-16,0.09222452700564658,0.0,0.0,0.022903335538650333,0.011429584503918275,0.0,0.0,0.0,0.0,0.0,0.0,0.011354738167656283,0.0,0.03351555883965843,0.0,0.0,0.022768029000284157,0.02275680428851669,0.0,0.0,0.0,0.0,0.0,0.0,0.03427285940282369,0.0,0.028702973012541138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19379245622977823,0.15583662298231246,0.19094480371383774,0.14946896040458366,0.04433130593622402
2012-10-17,0.01066950184299244,0.0,0.0,0.055154911734093516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011128750746375588,0.0,0.0,0.033057221932577506,0.0,0.021568879379167915,0.0,0.0,0.0,0.0,0.0,0.05584522214607337,0.0,0.11822495615776223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15904672076752557,0.2529575259830888,0.18427817734922677,0.13475764739478685,0.04900342528033724
2012-10-18,0.10694883894188761,0.0,0.0,0.03475578373374869,0.028651431843565108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022508816655548002,0.0,0.012473422637451123,0.0,0.0,0.0,0.0,0.0,0.013992330454770828,0.0,0.09568952104891808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15538551483623161,0.19694010953909338,0.16994569604282628,0.1795344964801241,0.02503903920037966
2012-10-19,0.08490503369466595,0.0,0.0,0.02691568358556029,0.05667177075940533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816118366201785,0.0,0.011942817732257012,0.0,0.0,0.0,0.0,0.0,0.0649711136770617,0.0,0.027894147197109895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052084104690919,0.08195188964546969,0.17604096592472976,0.19135894171399778,0.0286656113608155
2012-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011004574398001885,0.0,0.0,0.012118417757379969,0.0,0.04508931607065899,0.0,0.0,0.05565942812010178,0.07673448209682575,0.07120701113217943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23513005921966468,0.1053285827860257,0.18357671354777103,0.15059643782307927,0.053554977048311525
