datetime,Kansas City_broken clouds,Kansas City_drizzle,Kansas City_few clouds,Kansas City_fog,Kansas City_freezing rain,Kansas City_haze,Kansas City_heavy intensity rain,Kansas City_heavy intensity shower rain,Kansas City_heavy snow,Kansas City_light intensity drizzle,Kansas City_light intensity shower rain,Kansas City_light rain,Kansas City_light snow,Kansas City_mist,Kansas City_moderate rain,Kansas City_overcast clouds,Kansas City_proximity shower rain,Kansas City_proximity thunderstorm,Kansas City_scattered clouds,Kansas City_shower drizzle,Kansas City_shower rain,Kansas City_sky is clear,Kansas City_smoke,Kansas City_snow,Kansas City_squalls,Kansas City_thunderstorm,Kansas City_thunderstorm with heavy rain,Kansas City_thunderstorm with light rain,Kansas City_thunderstorm with rain,Kansas City_very heavy rain,Kansas City_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28737345713000945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.20565984377412672,0.054115370825160006,0.20725436430361943,0.21770716449243144,0.0017649397355612223
2012-10-02,0.010855082187086112,0.0,0.010788188772788268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25256190977853044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16977456052266984,0.14648471030546634,0.19226606703928914,0.19133103337125468,0.025938448022915117
2012-10-03,0.010803056455627775,0.0,0.014825930963995848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010679746071977192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010767491534532443,0.0,0.010820787263203645,0.2339528939329609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10957902944309408,0.18008970369876953,0.2019565260388825,0.1955787015672197,0.033661038488499384
2012-10-04,0.0,0.0,0.01149788772183971,0.0,0.0,0.03861506170716174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013605049984395613,0.0,0.0,0.0,0.0,0.2530279184909084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617201028394039,0.08187131450436981,0.20726141795475037,0.22019352406383702,0.028120790520968466
2012-10-05,0.011605808315209486,0.0,0.02172143409057356,0.012918694239166272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010083794579166758,0.0,0.0,0.23158785683928998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16556736720665877,0.12628418372408393,0.18403997324625823,0.1992790588809375,0.05211376329897199
2012-10-06,0.025926968875420186,0.0,0.0,0.012641621321483517,0.0,0.0,0.0,0.0,0.0,0.010125358779451466,0.0,0.03764481438054449,0.0,0.0,0.0,0.13347287120675735,0.0,0.0,0.01643503606442214,0.0,0.0,0.08179910083919319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816951056994897,0.090717604929626,0.17596431084141853,0.2328656702690259,0.057970156336313396
2012-10-07,0.025577088879514053,0.0,0.010905491165163844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010485727081507202,0.0,0.0,0.2492847963572702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15222974541204906,0.16301726384570855,0.14279434609425887,0.23060201485477652,0.034132244486257776
2012-10-08,0.03767144182411274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06460727633243495,0.0,0.0,0.0,0.0,0.0,0.21111688816661747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14900469743836572,0.1269115446369379,0.15299644281310407,0.242623816413045,0.015067892375382119
2012-10-09,0.0,0.0,0.0,0.02400979785094669,0.0,0.01140248622855978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2536758227440424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16337909367762532,0.1407148492567884,0.15493582171618048,0.21117535506706153,0.04751423569536311
2012-10-10,0.010755689364310731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185361052708043,0.0,0.0,0.0,0.0,0.0,0.2298569586736908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14269110082116362,0.16408373897376086,0.16222738508533355,0.19056289873206622,0.06796861782259377
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013081630359902308,0.0,0.0,0.31479866838077414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15474629164562131,0.08928914611781584,0.1804116639660296,0.23290118831051596,0.02121917337124173
