datetime,Montreal_broken clouds,Montreal_drizzle,Montreal_dust,Montreal_few clouds,Montreal_fog,Montreal_freezing rain,Montreal_haze,Montreal_heavy intensity rain,Montreal_heavy intensity shower rain,Montreal_heavy shower snow,Montreal_heavy snow,Montreal_light intensity drizzle,Montreal_light intensity drizzle rain,Montreal_light intensity shower rain,Montreal_light rain,Montreal_light rain and snow,Montreal_light shower sleet,Montreal_light shower snow,Montreal_light snow,Montreal_mist,Montreal_moderate rain,Montreal_overcast clouds,Montreal_proximity shower rain,Montreal_proximity thunderstorm,Montreal_sand,Montreal_scattered clouds,Montreal_shower drizzle,Montreal_shower rain,Montreal_shower snow,Montreal_sky is clear,Montreal_smoke,Montreal_snow,Montreal_thunderstorm,Montreal_thunderstorm with heavy rain,Montreal_thunderstorm with light rain,Montreal_thunderstorm with rain,Montreal_very heavy rain,Montreal_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02003011815851093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518105741697117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2149894291094017,0.1945745517634255,0.19558596605939274,0.10752496301750965,0.03964659070016834
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029336104349643437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388520022175776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799142472636869,0.2664069886806512,0.24845868796848056,0.18511831357466146,0.02181214443590208
2012-10-03,0.020486695813297272,0.0,0.0,0.0,0.029549882583206826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020394126246461135,0.0,0.0,0.0,0.0,0.0,0.010227639377036808,0.0,0.0,0.0,0.2745647979876871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22076927191324028,0.22448135207773215,0.244282602231477,0.19920608618158486,0.017623678325389972
2012-10-04,0.0,0.0,0.0,0.010729902823198002,0.0680477028608517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06754357954025769,0.0,0.011713237991669173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2123909288884386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25771404395550074,0.10470581519613638,0.2534063185315643,0.23712134591817688,0.014164763151121272
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011686863208083207,0.0,0.0,0.011579392485685425,0.0,0.0,0.0,0.0,0.25858769293138234,0.0,0.09894132267217402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038196855263943334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317275174317304,0.05831673378184152,0.28535097071657073,0.2267696207206462,0.0271956472871468
2012-10-06,0.0,0.0,0.0,0.0,0.02113371406133154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03450742318518991,0.0,0.0,0.0,0.0,0.05919914586177852,0.0,0.026695200337018193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21619226622375917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22900053509369023,0.20751151589518446,0.2537418980763821,0.2000963490417519,0.028444852685305003
2012-10-07,0.04345840980294075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010147480118636995,0.0752589944455323,0.0,0.0,0.0,0.0,0.029025044716867707,0.01652254003991199,0.05073169332412533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10228149764005821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183629713474552,0.2285868087998224,0.21870862760546575,0.19307274752111095,0.03732113276074701
2012-10-08,0.01259738237153908,0.0,0.0,0.020907929852310683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03520321583560728,0.0,0.0,0.0,0.0,0.0,0.0,0.0100860253895685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31677834775260355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968514848313841,0.2858686186190538,0.2318890801499268,0.21727689988524104,0.01764800257661945
2012-10-09,0.0480412690651986,0.0,0.0,0.032224929339111176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029673285346718103,0.0,0.0,0.0,0.0,0.0,0.0,0.010327327430872385,0.0,0.0,0.0,0.015175408860829345,0.0,0.0,0.0,0.24717894132855556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19705595530067926,0.2671376641878236,0.22083636896217243,0.22940283981967066,0.014579441894436359
2012-10-10,0.0,0.0,0.0,0.011456038947411831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01680264674041232,0.0,0.0,0.0,0.4436381059212306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16702954169413067,0.19730232436702624,0.2788596016329157,0.23326888910617866,0.011623515587055433
