datetime,Jacksonville_broken clouds,Jacksonville_drizzle,Jacksonville_few clouds,Jacksonville_fog,Jacksonville_haze,Jacksonville_heavy intensity rain,Jacksonville_light intensity drizzle,Jacksonville_light rain,Jacksonville_mist,Jacksonville_moderate rain,Jacksonville_overcast clouds,Jacksonville_proximity shower rain,Jacksonville_proximity thunderstorm,Jacksonville_scattered clouds,Jacksonville_shower rain,Jacksonville_sky is clear,Jacksonville_smoke,Jacksonville_squalls,Jacksonville_thunderstorm,Jacksonville_thunderstorm with heavy rain,Jacksonville_thunderstorm with light rain,Jacksonville_thunderstorm with rain,Jacksonville_very heavy rain,Jacksonville_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2369183738886651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.21878349911137904,0.12922820393927187,0.1865229359680849,0.16824049192093884,0.03876846118178157
2012-10-02,0.03282697595051587,0.0,0.08693795754568978,0.0,0.0,0.0,0.0,0.0,0.0,0.010758969323037618,0.0,0.012360409930708671,0.0,0.10823445180815176,0.0,0.01110181694994039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004723548590092,0.1173167412920788,0.2039141517095122,0.16923557270672515,0.04684059792463057
2012-10-03,0.1267783401713141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010419776758563357,0.0,0.021040464467957765,0.010954627977791391,0.06491963507228636,0.0,0.021683833417326537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19376882200861822,0.13741310158494557,0.19158136533244788,0.1694647842883368,0.051975248920412
2012-10-04,0.06504543865916941,0.0,0.012197102859822341,0.0,0.0,0.009175376527092853,0.0,0.05246964554348882,0.04617283505560291,0.011612482162814157,0.03300490473495457,0.033913491668937014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20682838812537407,0.12077434951369202,0.1896526508115115,0.19485619502790508,0.02429713930963527
2012-10-05,0.023323775560699242,0.0,0.0,0.06054264127688124,0.0,0.010987189912637594,0.0,0.025151881635166462,0.06807493827265838,0.0,0.024753529956340125,0.0,0.009832477354245386,0.010774271305171048,0.0,0.011476698496329837,0.0,0.0,0.02395729995160926,0.0,0.011238906071232945,0.0,0.0,0.0,0.24509178592033745,0.04590341043412783,0.1965631661870544,0.2164052561421748,0.015922771523333965
2012-10-06,0.03385662397028963,0.0,0.0,0.03335493021713084,0.0,0.0,0.0,0.08059324737589167,0.07598269309280126,0.0,0.0,0.0,0.0,0.011432989683440758,0.0,0.0,0.0,0.0,0.011744066011065637,0.0,0.022802005194619685,0.0,0.0,0.0,0.23160504547747307,0.07173058203504974,0.19489555759613938,0.20274680414462368,0.02925545520147464
2012-10-07,0.05316384480812831,0.0,0.0,0.0,0.0,0.012544850548213806,0.0,0.022919444695568197,0.11621175764596242,0.0,0.025031259225022834,0.0,0.011034712194705731,0.011580780237039413,0.0,0.0,0.0,0.0,0.021354988809220928,0.0,0.0,0.0,0.0,0.0,0.21683435330061296,0.09207588160082691,0.19774972627689605,0.19485203582983116,0.024646364827971275
2012-10-08,0.03646679435629104,0.0,0.03556491419068695,0.012752067674311815,0.0,0.0,0.0,0.012812302864817932,0.0694244878168052,0.0,0.011950796689381468,0.0,0.0,0.06917880411149561,0.0,0.02265547108372036,0.0,0.0,0.013174769970222995,0.0,0.0,0.0,0.0,0.0,0.2211999946482097,0.06666423742766998,0.20456656276504648,0.20039681192384504,0.02319198447749546
2012-10-09,0.03282329545135047,0.0,0.0,0.011410244324474267,0.0,0.0,0.0,0.0,0.06427906011604086,0.0,0.010812365619336524,0.011178441412575506,0.06506906224301118,0.02308323402694375,0.0,0.04188892148272564,0.0,0.0,0.010892621222551841,0.0,0.0,0.0,0.0,0.0,0.2165348071271217,0.09947777942341053,0.19479141864290192,0.1942279015149367,0.023530847392619098
2012-10-10,0.011549347060741651,0.0,0.0,0.0,0.012292428317078517,0.0,0.0,0.0,0.15560663492455792,0.0,0.021285030485800133,0.0,0.0,0.0,0.0,0.07948710690296112,0.0,0.0,0.011481772885892229,0.0,0.0,0.0,0.0,0.0,0.23454020703072673,0.048693366171004344,0.17234162944656847,0.2135094857351246,0.05875800829210485
2012-10-11,0.0,0.0,0.03534610588122299,0.03626575250655048,0.010009461619519088,0.0,0.0,0.0,0.053218336629956266,0.0,0.0,0.0,0.0,0.0,0.0,0.14012711968123612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20304287656484166,0.1313463572498805,0.1676214548233256,0.19881791846210659,0.02420461658136076
2012-10-12,0.0,0.0,0.1179214432768833,0.0,0.0,0.0,0.0,0.0,0.14201395667973796,0.0,0.0,0.0,0.0,0.012587182906419381,0.0,0.0118551535676451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19456616352115422,0.08811306887362565,0.17676840281874062,0.21868723373959642,0.037487394616197336
2012-10-13,0.0,0.0,0.19192009842208643,0.0,0.0,0.0,0.0,0.0,0.03913094103340156,0.0,0.0,0.0,0.0,0.0,0.0,0.04806877438294286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17440027635413627,0.10216990451498566,0.18623077686011105,0.21334198187259226,0.044737246559743815
